Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      892     0.00     0.00  testing::internal::scoped_ptr<std::basic_stringstream<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.00     0.00      592     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.00     0.00      524     0.00     0.00  testing::internal::scoped_ptr<testing::internal::ParamIteratorInterface<int> >::operator->() const
  0.00      0.00     0.00      492     0.00     0.00  testing::internal::scoped_ptr<int const>::get() const
  0.00      0.00     0.00      433     0.00     0.00  testing::internal::scoped_ptr<int const>::reset(int const*)
  0.00      0.00     0.00      431     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      368     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.00     0.00      330     0.00     0.00  __gnu_cxx::__normal_iterator<testing::internal::ParameterizedTestCaseInfoBase**, std::vector<testing::internal::ParameterizedTestCaseInfoBase*, std::allocator<testing::internal::ParameterizedTestCaseInfoBase*> > >::base() const
  0.00      0.00     0.00      324     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00      310     0.00     0.00  testing::internal::scoped_ptr<testing::internal::ParamIteratorInterface<int> >::get() const
  0.00      0.00     0.00      310     0.00     0.00  testing::internal::ValuesInIteratorRangeGenerator<int>::Iterator::BaseGenerator() const
  0.00      0.00     0.00      310     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00      298     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00      262     0.00     0.00  testing::internal::GTestMutexLock::GTestMutexLock(testing::internal::MutexBase*)
  0.00      0.00     0.00      262     0.00     0.00  testing::internal::GTestMutexLock::~GTestMutexLock()
  0.00      0.00     0.00      262     0.00     0.00  testing::internal::MutexBase::Lock()
  0.00      0.00     0.00      262     0.00     0.00  testing::internal::MutexBase::Unlock()
  0.00      0.00     0.00      247     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      246     0.00     0.00  testing::internal::ParamIterator<int>::operator*() const
  0.00      0.00     0.00      246     0.00     0.00  testing::internal::ValuesInIteratorRangeGenerator<int>::Iterator::Current() const
  0.00      0.00     0.00      228     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      212     0.00     0.00  __gnu_cxx::__normal_iterator<testing::internal::ParameterizedTestCaseInfoBase**, std::vector<testing::internal::ParameterizedTestCaseInfoBase*, std::allocator<testing::internal::ParameterizedTestCaseInfoBase*> > >::operator*() const
  0.00      0.00     0.00      206     0.00     0.00  __gnu_cxx::__normal_iterator<testing::internal::ParameterizedTestCaseInfoBase**, std::vector<testing::internal::ParameterizedTestCaseInfoBase*, std::allocator<testing::internal::ParameterizedTestCaseInfoBase*> > >::__normal_iterator(testing::internal::ParameterizedTestCaseInfoBase** const&)
  0.00      0.00     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00      189     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.00      0.00     0.00      187     0.00     0.00  testing::internal::scoped_ptr<int const>::scoped_ptr(int const*)
