Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.63      0.18     0.18 18273724     0.00     0.00  RL::RandomIdx::Get() const
  7.20      0.35     0.17 31798457     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::operator[](unsigned long) const
  6.99      0.52     0.17 18313728     0.00     0.00  RL::Random::UniformIdx(int)
  6.36      0.67     0.15  9060762     0.00     0.00  RL::SimpleMDP::GetNextStep(RL::Step const&) const
  5.93      0.81     0.14      167     0.84     2.84  RL::SimpleMDP::GetControlValueFunction(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&) const
  5.08      0.93     0.12 32231644     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  5.08      1.05     0.12       26     4.62    31.23  RL::EpsilonSoftOnPolicyMonteCarlo<RL::SimpleMDP>::PolicyEvaluation(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, unsigned int) const
  4.24      1.15     0.10 38483013     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  3.39      1.23     0.08 37453810     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  3.39      1.31     0.08 15605260     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  3.18      1.38     0.08 31798457     0.00     0.00  RL::Episode::operator[](unsigned int) const
  2.97      1.45     0.07  7563936     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::push_back(RL::Step const&)
  2.12      1.50     0.05   102200     0.00     0.01  RL::SimpleMDP::GetEpisode(RL::Episode&) const
  1.91      1.55     0.05 18319986     0.00     0.00  std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> >::operator[](unsigned long) const
  1.69      1.59     0.04 15428167     0.00     0.00  std::vector<std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> >, std::allocator<std::vector<RL::RandomIdx, std::allocator<RL::RandomIdx> > > >::operator[](unsigned long) const
  1.27      1.62     0.03  7562970     0.00     0.00  RL::Episode::AddStep(RL::Step const&)
  1.27      1.65     0.03   103737     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  1.27      1.68     0.03  9206895     0.00     0.00  RL::StochasticPolicy::operator[](unsigned int) const
  1.27      1.71     0.03  7573472     0.00     0.00  RL::Episode::GetStepCount() const
  1.27      1.74     0.03  7511017     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::operator[](unsigned long)
  1.27      1.77     0.03  6317319     0.00     0.00  RL::SimpleMDP::GetControlCount(unsigned int) const
  1.06      1.79     0.03  7563936     0.00     0.00  __gnu_cxx::new_allocator<RL::Step>::construct(RL::Step*, RL::Step const&)
  0.85      1.81     0.02 10175393     0.00     0.00  std::vector<RL::Step, std::allocator<RL::Step> >::size() const
  0.85      1.83     0.02  5993024     0.00     0.00  std::_Iter_base<RL::Step*, false>::_S_base(RL::Step*)
