episodeIndex	999
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	4120.000000	1270	3.244094	43.246912	2.873448	3.614741	2.749951	3.738238
1	1	0.000000	0	-nan	-nan	2521.000000	397	6.350126	59.889729	5.569999	7.130253	5.310067	7.390185
2	0	2.000000	1	2.000000	-nan	13037.000000	1944	6.706276	78.873538	6.301698	7.110854	6.166896	7.245655
2	1	0.000000	0	-nan	-nan	6274.000000	642	9.772586	93.417781	9.006404	10.538768	8.751119	10.794052
3	0	3.000000	1	3.000000	-nan	22159.000000	2204	10.053993	104.345245	9.616959	10.491027	9.471343	10.636642
3	1	0.000000	0	-nan	-nan	10648.000000	728	14.626374	166.545218	13.665680	15.587067	13.345585	15.907162
4	0	4.000000	1	4.000000	-nan	33583.000000	2404	13.969634	143.606651	13.478721	14.460547	13.315153	14.624115
4	1	0.000000	0	-nan	-nan	14870.000000	845	17.597633	186.307103	16.654504	18.540762	16.340262	18.855004
5	0	0.000000	0	-nan	-nan	45841.000000	2682	17.092095	162.993753	16.596941	17.587250	16.431960	17.752231
5	1	5.000000	1	5.000000	-nan	18386.000000	894	20.565996	220.454206	19.568583	21.563409	19.236253	21.895738
6	0	6.000000	1	6.000000	-nan	56899.000000	2821	20.169798	186.680024	19.653106	20.686490	19.480948	20.858647
6	1	0.000000	0	-nan	-nan	20250.000000	876	23.116438	197.545284	22.162620	24.070257	21.844816	24.388061
7	0	7.000000	1	7.000000	-nan	66748.000000	2862	23.322152	192.852491	22.800763	23.843542	22.627040	24.017264
7	1	0.000000	0	-nan	-nan	23228.000000	931	24.949517	199.430782	24.019896	25.879137	23.710154	26.188879
8	0	8.000000	1	8.000000	-nan	74247.000000	2926	25.374915	184.949647	24.869935	25.879895	24.701680	26.048149
8	1	0.000000	0	-nan	-nan	28526.000000	1030	27.695146	205.485205	26.798014	28.592277	26.499097	28.891194
9	0	9.000000	1	9.000000	-nan	68521.000000	2518	27.212470	188.858692	26.662391	27.762549	26.479110	27.945831
