episodeIndex	1
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
1	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
1	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
2	0	0.000000	0	-nan	-nan	12.879870	2	6.439935	0.184867	2.576882	10.302989	-12.913561	25.793432
2	1	0.000000	0	-nan	-nan	123.421389	17	7.260082	0.475817	5.134336	9.385828	-3.389685	17.909848
2	2	0.000000	0	-nan	-nan	7.070230	1	7.070230	-nan	-nan	-nan	-nan	-nan
3	0	2184.562351	4	546.140588	352.172997	36022.039620	194	185.680617	28108.239584	32.736898	338.624335	-580.551501	951.912734
3	1	0.000000	0	-nan	-nan	1359.956413	12	113.329701	13164.625480	-307.522224	534.181626	-1995.094657	2221.754059
3	2	563.369787	1	563.369787	-nan	2118.201510	10	211.820151	26318.777592	-440.031161	863.671463	-3053.887102	3477.527403
4	0	11788.950987	26	453.421192	4949.694510	12771.900372	80	159.648755	43662.038114	-137.191432	456.488941	-1327.489695	1646.787204
4	1	411.154513	1	411.154513	-nan	422.494597	2	211.247298	79925.788863	-2328.813751	2751.308348	-12514.194283	12936.688880
4	2	972.247909	2	486.123954	9368.937595	1045.519335	6	174.253223	60251.856903	-1099.030772	1447.537217	-6204.767111	6553.273556
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	50.240120	2	25.120060	0.078246	22.606828	27.633292	12.529027	37.711092
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan
