episodeIndex	0
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.014000	2	0.007000	0.000098	0.014000	2	0.007000	0.000098
1	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
1	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
2	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
2	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
2	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
3	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
3	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
3	2	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
4	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
4	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
5	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
5	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
6	0	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
6	1	0.000000	0	-nan	-nan	0.000000	0	-nan	-nan
