-nan	-nan
25.3844	53.4425
33.5609	39.5926
34.5229	38.4517
34.5086	38.4453
34.8591	38.1433
35.2061	37.8702
35.3723	37.6322
35.5251	37.4746
35.5392	37.5424
35.6277	37.4135
35.6102	37.5045
35.6708	37.4447
35.7203	37.3544
35.7484	37.2814
35.7856	37.2174
35.7305	37.2397
35.7189	37.2417
35.7514	37.1968
35.7953	37.187
35.8208	37.1485
35.8448	37.1266
35.841	37.0957
35.8413	37.0908
35.8594	37.0614
35.8762	37.0397
35.8837	37.0075
35.9094	36.9909
35.9208	36.9765
35.941	36.9599
35.9697	36.9569
35.9858	36.9461
36.0065	36.9443
36.0251	36.9416
36.0283	36.9364
36.0155	36.9407
36.0327	36.9327
36.0315	36.9318
36.0443	36.9403
36.0379	36.9302
36.0424	36.9184
36.0356	36.928
36.0489	36.9205
36.0484	36.921
36.0571	36.9164
36.0631	36.9047
36.0732	36.8998
36.0744	36.8898
36.0673	36.9065
36.0717	36.9039
36.0657	36.9113
36.0623	36.9063
36.0675	36.8981
36.0772	36.8978
36.0858	36.8966
36.0931	36.8958
36.0969	36.887
36.0987	36.8803
36.1029	36.8709
36.106	36.8683
36.1144	36.8639
36.1063	36.8637
36.1109	36.8565
36.1179	36.8555
36.1193	36.8512
36.1194	36.8471
36.1228	36.8441
36.1273	36.838
36.1277	36.8356
36.1328	36.8336
36.1354	36.8271
36.1397	36.8217
36.1472	36.8244
36.1511	36.8189
36.155	36.8137
36.1649	36.8173
36.1662	36.81
36.1727	36.8092
36.1795	36.8082
36.1797	36.8109
36.19	36.8145
36.1901	36.8152
36.196	36.8151
36.1997	36.8121
36.2023	36.8073
36.205	36.803
36.2058	36.7984
36.2122	36.7989
36.2142	36.7949
36.2149	36.7911
36.2153	36.7882
36.2199	36.7871
36.2205	36.7825
36.2249	36.7812
36.2243	36.7776
36.2299	36.7775
36.2309	36.7738
36.2341	36.7734
36.2391	36.7735
36.2419	36.7734
