36.236	-nan	-nan
36.4105	34.1933	38.6277
36.4363	35.9888	36.8838
36.431	36.1963	36.6657
36.423	36.2629	36.5831
36.464	36.3035	36.6245
36.5143	36.3359	36.6926
36.4855	36.3214	36.6496
36.4877	36.3465	36.6289
36.5277	36.3742	36.6812
36.5103	36.3682	36.6524
36.5465	36.3956	36.6974
36.5484	36.4109	36.6859
36.5296	36.3971	36.6622
36.5082	36.3773	36.6391
36.4958	36.3713	36.6203
36.4791	36.3576	36.6007
36.4742	36.3596	36.5887
36.4687	36.3602	36.5772
36.486	36.3772	36.5949
36.4801	36.3763	36.584
36.4816	36.3828	36.5804
36.4648	36.3644	36.5652
36.4624	36.3664	36.5584
36.4571	36.3646	36.5496
36.4549	36.3661	36.5437
36.4427	36.3539	36.5316
36.4475	36.3615	36.5336
36.4462	36.3633	36.5291
36.4482	36.3681	36.5283
36.4614	36.3795	36.5433
36.4642	36.3848	36.5436
36.4739	36.3945	36.5532
36.4821	36.4034	36.5608
36.4811	36.4048	36.5575
36.4768	36.4022	36.5515
36.4816	36.4084	36.5547
36.4805	36.4093	36.5517
36.4909	36.4185	36.5634
36.4829	36.4105	36.5553
36.4793	36.4085	36.5502
36.4806	36.4115	36.5498
36.4837	36.4159	36.5515
36.4836	36.4175	36.5498
36.4858	36.421	36.5506
36.483	36.4194	36.5466
36.4857	36.4233	36.5481
36.4814	36.4198	36.5431
36.4859	36.4249	36.5469
36.4868	36.427	36.5465
36.4873	36.4288	36.5459
36.4833	36.4253	36.5412
36.4818	36.4248	36.5387
36.4866	36.43	36.5433
36.4904	36.4343	36.5465
36.4938	36.4383	36.5493
36.4914	36.4367	36.5461
36.4889	36.435	36.5429
36.4864	36.4332	36.5397
36.4867	36.4343	36.5391
36.4887	36.4371	36.5403
36.4843	36.4328	36.5358
36.4831	36.4324	36.5338
36.4862	36.4359	36.5364
36.4847	36.4351	36.5343
36.4828	36.4338	36.5317
36.483	36.4348	36.5312
36.4822	36.4347	36.5297
36.4812	36.4343	36.528
36.4828	36.4365	36.5291
36.4809	36.4351	36.5266
36.4803	36.4352	36.5254
36.4856	36.4398	36.5313
36.4848	36.4396	36.5299
36.4841	36.4396	36.5286
36.491	36.445	36.537
36.488	36.4422	36.5338
36.4909	36.4454	36.5365
36.4938	36.4485	36.5391
36.4952	36.4504	36.5401
36.5023	36.4558	36.5488
36.5026	36.4567	36.5485
36.5056	36.4599	36.5513
36.506	36.4608	36.5512
36.5049	36.4602	36.5496
36.5041	36.4599	36.5482
36.5022	36.4584	36.546
36.5057	36.4618	36.5495
36.5047	36.4613	36.5481
36.5032	36.4601	36.5462
36.502	36.4594	36.5446
36.5037	36.4614	36.546
36.5017	36.4597	36.5437
36.5033	36.4616	36.5449
36.5013	36.4599	36.5427
36.504	36.4626	36.5453
36.5026	36.4617	36.5436
36.5041	36.4634	36.5447
36.5066	36.4661	36.5472
36.5079	36.4677	36.5482
