-nan	-nan
45.9933	99.1231
60.8437	74.8992
63.8126	71.4873
64.717	70.5438
65.2518	70.0471
65.7429	69.6194
65.618	69.7976
65.9055	69.5003
66.1055	69.2608
66.2528	69.0719
66.3869	68.9364
66.4897	68.8144
66.5676	68.7077
66.631	68.6214
66.6724	68.5255
66.6601	68.5581
66.7138	68.4947
66.7405	68.4225
66.7603	68.3681
66.7871	68.3216
66.8153	68.2816
66.8178	68.263
66.8376	68.2279
66.8241	68.2253
66.8419	68.1873
66.8632	68.1563
66.8802	68.1397
66.8995	68.1188
66.9106	68.1055
66.929	68.0995
66.9316	68.0723
66.946	68.0558
66.9004	68.0761
66.9145	68.0566
66.9214	68.0396
66.9366	68.0336
66.9404	68.0125
66.9551	67.9984
66.9671	67.9854
66.9646	67.9923
66.9739	67.9897
66.9776	67.9844
66.9472	68.0049
66.9558	67.9928
66.9629	67.9903
66.9691	67.9804
66.9634	67.9733
66.9535	67.9926
66.9593	67.9787
66.9701	67.9724
66.9679	67.9779
66.9736	67.965
66.9771	67.964
66.9708	67.9795
66.9727	67.9771
66.9779	67.9648
66.9837	67.9645
66.9927	67.958
67.0124	67.9814
67.0186	67.9727
67.0269	67.9657
67.0344	67.961
67.0479	67.9601
67.0456	67.9549
67.0568	67.9525
67.0621	67.9451
67.0671	67.9421
67.0749	67.9434
67.074	67.9475
67.0786	67.9396
67.0855	67.9345
67.0891	67.9313
67.0967	67.9275
67.0974	67.9364
67.0961	67.942
67.1034	67.9399
67.0993	67.9544
67.1089	67.9537
67.1185	67.9529
67.126	67.95
67.132	67.9483
67.1385	67.9467
67.1413	67.9469
67.1454	67.9483
67.1529	67.9465
67.1574	67.9428
67.165	67.9414
67.1666	67.9519
67.1683	67.9471
67.1733	67.9446
67.1781	67.9496
67.1845	67.9493
67.1916	67.9483
67.1976	67.9518
67.1976	67.9495
67.2005	67.9471
67.2022	67.9472
67.2012	67.963
67.2087	67.9633
