-nan	-nan
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0


-nan	-nan
62.8744	72.533
63.9106	71.2961
62.8057	72.6339
63.0507	72.4086
63.7978	71.6438
62.6342	73.077
63.0368	72.6571
63.5448	72.0837
63.8795	71.6751
64.1895	71.2931
63.9178	71.6
64.1537	71.3211
64.232	71.208
64.3907	71.0113
64.553	70.7783
64.7221	70.6132
64.8674	70.4463
64.9122	70.3501
65.0251	70.1931
65.1361	70.0539
65.1857	69.9888
65.2507	69.9027
65.2568	69.8817
65.1263	70.0064
65.2091	69.8972
65.1491	69.9526
65.1767	69.9235
65.2323	69.8627
65.2121	69.8819
65.1874	69.9222
65.1643	69.9234
65.2174	69.8646
65.2705	69.78
65.3119	69.7306
65.3303	69.7011
65.3704	69.6683
65.4163	69.6016
65.4676	69.5478
65.4954	69.5173
65.484	69.5342
65.5122	69.5109
65.5505	69.4686
65.5889	69.4167
65.6292	69.3707
65.6669	69.3356
65.5836	69.4204
65.605	69.3837
65.646	69.3495
65.6623	69.3238
65.6832	69.3061
65.7084	69.2827
65.7344	69.2481
65.7161	69.2697
65.7421	69.2509
65.7389	69.254
65.7656	69.2186
65.7971	69.191
65.8188	69.1709
65.8555	69.1775
65.8314	69.2006
65.8583	69.1737
65.8588	69.176
65.874	69.1736
65.8821	69.157
65.874	69.1753
65.8972	69.1489
65.9096	69.138
65.9361	69.1194
65.9238	69.1352
65.9406	69.1141
65.9603	69.0955
65.9783	69.0769
66.0008	69.0574
65.9811	69.0865
65.9643	69.1081
65.9807	69.0961
65.9785	69.1078
65.977	69.118
65.9991	69.104
66.0025	69.1051
66.0203	69.0908
66.0363	69.079
66.0393	69.0792
66.0594	69.0638
66.0727	69.0556
66.0519	69.0782
66.0622	69.0744
66.0812	69.0661
66.0722	69.0727
66.0854	69.0613
66.089	69.0667
66.1019	69.06
66.1126	69.0548
66.1291	69.0469
66.1427	69.0303
66.1446	69.0288
