episodeIndex	330
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	331	0.000000	331	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	328	801.000000	415	2.442073	17.164830	1.265244	0.330042	1.930120	1.491840	2.414882	1.354996	2.588024
1	1	0.000000	0	-nan	-nan	19	62.000000	20	3.263158	1.315789	1.052632	0.052632	3.100000	2.330011	4.050746	2.080902	4.461755
2	0	6.000000	2	3.000000	2.000000	326	2230.000000	562	6.840491	117.999094	1.723926	1.080472	3.967972	3.061645	5.004624	2.784453	5.383949
2	1	0.000000	0	-nan	-nan	42	266.000000	45	6.333333	22.227642	1.071429	0.067944	5.911111	4.219952	7.879727	3.701699	8.619158
3	0	8.000000	2	4.000000	2.000000	328	3926.000000	642	11.969512	263.815581	1.957317	1.710711	6.115265	4.836517	7.598719	4.448761	8.147182
3	1	0.000000	0	-nan	-nan	39	338.000000	42	8.666667	31.070175	1.076923	0.125506	8.047619	5.755978	10.886351	5.075320	12.010504
4	0	6.000000	1	6.000000	-nan	330	5332.000000	656	16.157576	435.014608	1.987879	1.945141	8.128049	6.466347	10.069239	5.964576	10.790634
4	1	0.000000	0	-nan	-nan	40	428.000000	43	10.700000	50.574359	1.075000	0.071154	9.953488	7.261519	13.109545	6.437149	14.305808
5	0	7.000000	1	7.000000	-nan	325	6548.000000	652	20.147692	509.471947	2.006154	1.827123	10.042945	8.175662	12.213333	7.610102	13.016911
5	1	0.000000	0	-nan	-nan	42	512.000000	44	12.190476	44.938444	1.047619	0.046458	11.636364	9.061364	14.564170	8.260888	15.645061
6	0	12.000000	1	12.000000	-nan	328	7802.000000	647	23.786585	573.471134	1.972561	1.561936	12.058733	10.009035	14.418250	9.384591	15.285681
6	1	8.000000	1	8.000000	-nan	46	680.000000	50	14.782609	67.285024	1.086957	0.125604	13.600000	10.356209	17.539302	9.392876	19.056640
7	0	48.000000	4	12.000000	6.666667	329	9917.000000	683	30.142857	1141.939895	2.075988	2.417989	14.519766	11.743195	17.798600	10.910182	19.026907
7	1	0.000000	0	-nan	-nan	46	810.000000	48	17.608696	76.732367	1.043478	0.042512	16.875000	13.584941	20.575236	12.561711	21.921713
8	0	40.000000	3	13.333333	9.333333	329	11274.000000	676	34.267477	1591.611165	2.054711	2.399437	16.677515	13.408107	20.542514	12.427867	21.991573
8	1	0.000000	0	-nan	-nan	45	984.000000	52	21.866667	358.072727	1.155556	0.179798	18.923077	12.612854	26.796998	10.765477	29.898386
9	0	17.000000	1	17.000000	-nan	331	9144.000000	516	27.625378	806.180445	1.558912	0.926064	17.720930	14.707803	21.174786	13.787475	22.440588
