StartTime	2015/10/21 03:55:42
FinishTime	2015/10/21 03:56:32
ElapsedTime	50.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20151021020428_10Setting_20151021020429.log
0	1.000000
1	0.125000	0.125000	0.625000	0.125000
2	0.083333	0.083333	0.583333	0.083333	0.083333	0.083333
3	0.125000	0.125000	0.625000	0.125000
4	0.125000	0.125000	0.625000	0.125000
5	0.125000	0.125000	0.125000	0.625000
6	0.125000	0.125000	0.125000	0.625000
3862
0	2	4	0.000000
1	2	2	0.000000
2	2	2	0.000000
3	2	2	0.000000
4	2	0	0.000000
5	2	5	0.000000
6	2	0	0.000000
7	2	2	0.000000
8	2	2	0.000000
9	2	2	0.000000
10	2	2	0.000000
11	2	5	0.000000
12	2	2	0.000000
13	2	5	0.000000
14	2	2	0.000000
15	2	5	0.000000
16	2	2	0.000000
17	2	2	0.000000
18	2	3	0.000000
19	2	0	0.000000
20	1	2	0.000000
21	1	2	0.000000
22	2	2	0.000000
23	2	2	0.000000
24	2	2	0.000000
25	2	4	0.000000
26	2	2	0.000000
27	2	5	0.000000
28	2	2	0.000000
29	2	2	0.000000
30	2	5	0.000000
31	2	3	0.000000
32	1	2	0.000000
33	1	2	0.000000
34	1	2	0.000000
35	1	3	0.000000
36	2	0	0.000000
37	2	2	0.000000
38	2	2	0.000000
39	2	1	0.000000
40	2	4	0.000000
41	2	2	0.000000
42	1	2	0.000000
43	1	2	0.000000
44	1	2	0.000000
45	1	2	0.000000
46	1	2	0.000000
47	1	3	0.000000
48	1	0	0.000000
49	1	2	0.000000
50	1	0	0.000000
51	1	0	0.000000
52	1	2	0.000000
53	1	3	0.000000
54	2	2	0.000000
55	2	4	0.000000
56	3	1	0.000000
57	3	0	0.000000
58	3	3	0.000000
59	3	0	0.000000
60	3	1	0.000000
61	2	4	0.000000
62	2	1	0.000000
63	2	5	0.000000
64	2	2	0.000000
65	2	0	0.000000
66	2	1	0.000000
67	2	2	0.000000
68	2	1	0.000000
69	2	0	0.000000
70	2	2	0.000000
71	2	0	0.000000
72	2	0	0.000000
73	2	0	0.000000
74	2	2	0.000000
75	2	1	0.000000
76	2	0	0.000000
77	2	0	0.000000
78	2	5	0.000000
79	2	2	0.000000
80	2	2	0.000000
81	2	2	0.000000
82	2	2	0.000000
83	2	2	0.000000
84	2	0	0.000000
85	2	5	0.000000
86	2	2	0.000000
87	2	2	0.000000
88	2	2	0.000000
89	2	2	0.000000
90	2	2	0.000000
91	2	2	0.000000
92	2	0	0.000000
93	2	2	0.000000
94	2	2	0.000000
95	2	0	0.000000
96	2	2	0.000000
97	2	3	0.000000
98	2	3	0.000000
99	2	2	0.000000
100	2	2	0.000000
101	2	2	0.000000
102	2	2	0.000000
103	1	1	0.000000
104	2	5	0.000000
105	1	2	0.000000
106	1	3	0.000000
107	2	5	0.000000
108	2	2	0.000000
109	1	2	0.000000
110	1	1	0.000000
111	1	1	0.000000
112	1	3	0.000000
113	1	1	0.000000
114	1	2	0.000000
115	1	3	0.000000
116	1	3	0.000000
117	1	2	0.000000
118	1	2	0.000000
119	1	2	0.000000
120	1	2	0.000000
121	1	2	0.000000
122	2	2	0.000000
123	2	5	0.000000
124	2	2	0.000000
125	2	3	0.000000
126	2	3	0.000000
127	2	2	0.000000
128	2	2	0.000000
129	3	0	0.000000
130	3	2	0.000000
131	3	3	0.000000
132	3	2	0.000000
133	3	2	0.000000
134	3	2	0.000000
135	3	2	0.000000
136	2	5	0.000000
137	2	1	0.000000
138	2	2	0.000000
139	2	1	0.000000
140	2	2	0.000000
141	2	2	0.000000
142	2	5	0.000000
143	2	2	0.000000
144	2	2	0.000000
145	2	2	0.000000
146	2	2	0.000000
147	2	1	0.000000
148	2	4	0.000000
149	2	2	0.000000
150	2	1	0.000000
151	1	0	0.000000
152	1	1	0.000000
153	1	3	0.000000
154	1	1	0.000000
155	1	2	0.000000
156	1	2	0.000000
157	1	1	0.000000
158	1	3	0.000000
159	1	2	0.000000
160	1	3	0.000000
161	2	4	0.000000
162	2	2	0.000000
163	2	0	0.000000
164	2	2	0.000000
165	2	5	0.000000
166	2	2	0.000000
167	2	2	0.000000
168	2	2	0.000000
169	2	1	0.000000
170	2	4	0.000000
171	2	2	0.000000
172	2	2	0.000000
173	2	3	0.000000
174	2	2	0.000000
175	2	5	0.000000
176	1	2	0.000000
177	1	2	0.000000
178	1	1	0.000000
179	1	3	0.000000
180	1	1	0.000000
181	1	2	0.000000
182	1	2	0.000000
183	1	2	0.000000
184	1	2	0.000000
185	1	1	0.000000
186	1	2	0.000000
187	1	1	0.000000
188	1	2	0.000000
189	2	2	0.000000
190	2	2	0.000000
191	2	2	0.000000
192	2	2	0.000000
193	2	2	0.000000
194	2	0	0.000000
195	3	2	0.000000
196	3	2	0.000000
197	3	2	0.000000
198	3	3	0.000000
199	3	1	0.000000
200	3	2	0.000000
201	3	0	0.000000
202	3	2	0.000000
203	2	2	0.000000
204	2	0	0.000000
205	2	2	0.000000
206	2	2	0.000000
207	2	1	0.000000
208	2	4	0.000000
209	2	5	0.000000
210	2	2	0.000000
211	2	2	0.000000
212	2	2	0.000000
213	2	2	0.000000
214	2	2	0.000000
215	2	2	0.000000
216	1	2	0.000000
217	1	2	0.000000
218	1	2	0.000000
219	1	0	0.000000
220	1	2	0.000000
221	1	3	0.000000
222	1	2	0.000000
223	1	2	0.000000
224	1	2	0.000000
225	1	2	0.000000
226	1	2	0.000000
227	1	2	0.000000
228	1	2	0.000000
229	2	2	0.000000
230	2	3	0.000000
231	2	0	0.000000
232	2	2	0.000000
233	3	2	0.000000
234	3	2	0.000000
235	3	0	0.000000
236	3	2	0.000000
237	3	1	0.000000
238	4	2	0.000000
239	4	3	0.000000
240	4	2	0.000000
241	4	0	0.000000
242	3	1	0.000000
243	3	2	0.000000
244	3	1	0.000000
245	3	2	0.000000
246	3	2	0.000000
247	3	1	0.000000
248	3	2	0.000000
249	3	2	0.000000
250	3	0	0.000000
251	2	2	0.000000
252	2	4	0.000000
253	2	2	0.000000
254	2	2	0.000000
255	2	2	0.000000
256	2	2	0.000000
257	2	5	0.000000
258	2	0	0.000000
259	1	1	0.000000
260	2	2	0.000000
261	1	2	0.000000
262	1	0	0.000000
263	1	2	0.000000
264	2	1	0.000000
265	2	2	0.000000
266	2	2	0.000000
267	1	1	0.000000
268	1	2	0.000000
269	1	2	0.000000
270	1	2	0.000000
271	1	1	0.000000
272	1	2	0.000000
273	1	2	0.000000
274	1	0	0.000000
275	1	2	0.000000
276	2	2	0.000000
277	2	3	0.000000
278	2	3	0.000000
279	2	3	0.000000
280	2	2	0.000000
281	2	2	0.000000
282	3	1	0.000000
283	3	3	0.000000
284	3	2	0.000000
285	3	1	0.000000
286	4	0	0.000000
287	4	0	0.000000
288	4	3	0.000000
289	4	3	0.000000
290	4	3	0.000000
291	4	0	0.000000
292	4	2	0.000000
293	4	2	0.000000
294	4	3	0.000000
295	3	3	0.000000
296	3	3	0.000000
297	3	2	0.000000
298	2	2	0.000000
299	2	2	0.000000
300	2	2	0.000000
301	2	0	0.000000
302	2	2	0.000000
303	1	3	0.000000
304	1	2	0.000000
305	1	2	0.000000
306	1	2	0.000000
307	1	2	0.000000
308	1	3	0.000000
309	1	2	0.000000
310	1	2	0.000000
311	1	3	0.000000
312	1	2	0.000000
313	1	2	0.000000
314	1	0	0.000000
315	1	2	0.000000
316	1	2	0.000000
317	2	2	0.000000
318	2	2	0.000000
319	3	2	0.000000
320	3	2	0.000000
321	4	3	0.000000
322	4	2	0.000000
323	5	3	0.000000
324	5	3	0.000000
325	5	3	0.000000
326	5	3	0.000000
327	5	3	0.000000
328	5	2	0.000000
329	4	2	0.000000
330	4	2	0.000000
331	3	2	0.000000
332	3	2	0.000000
333	3	0	0.000000
334	3	1	0.000000
335	3	3	0.000000
336	3	2	0.000000
337	3	2	0.000000
338	3	3	0.000000
339	3	3	0.000000
340	3	1	0.000000
341	3	2	0.000000
342	3	2	0.000000
343	3	0	0.000000
344	3	2	0.000000
345	3	2	0.000000
346	2	2	0.000000
347	2	2	0.000000
348	2	5	0.000000
349	2	2	0.000000
350	2	2	0.000000
351	2	2	0.000000
352	2	1	0.000000
353	2	2	0.000000
354	2	2	0.000000
355	2	2	0.000000
356	2	1	0.000000
357	1	2	0.000000
358	1	2	0.000000
359	1	2	0.000000
360	1	3	0.000000
361	1	2	0.000000
362	1	2	0.000000
363	1	3	0.000000
364	1	2	0.000000
365	1	2	0.000000
366	1	3	0.000000
367	2	5	0.000000
368	3	3	0.000000
369	3	1	0.000000
370	4	2	0.000000
371	4	2	0.000000
372	4	2	0.000000
373	4	2	0.000000
374	5	3	0.000000
375	5	3	0.000000
376	5	2	0.000000
377	4	1	0.000000
378	4	2	0.000000
379	4	2	0.000000
380	4	2	0.000000
381	3	2	0.000000
382	3	1	0.000000
383	3	2	0.000000
384	3	2	0.000000
385	3	2	0.000000
386	3	2	0.000000
387	3	2	0.000000
388	2	5	0.000000
389	2	2	0.000000
390	2	2	0.000000
391	2	2	0.000000
392	2	4	0.000000
393	2	4	0.000000
394	2	5	0.000000
395	1	2	0.000000
396	1	0	0.000000
397	1	2	0.000000
398	1	2	0.000000
399	1	2	0.000000
400	1	0	0.000000
401	1	1	0.000000
402	1	3	0.000000
403	1	2	0.000000
404	1	3	0.000000
405	2	0	0.000000
406	2	5	0.000000
407	2	1	0.000000
408	1	2	0.000000
409	2	2	0.000000
410	2	0	0.000000
411	2	2	0.000000
412	2	2	0.000000
413	2	1	0.000000
414	2	2	0.000000
415	2	2	0.000000
416	2	2	0.000000
417	2	2	0.000000
418	2	2	0.000000
419	2	2	0.000000
420	2	2	0.000000
421	2	2	0.000000
422	2	4	0.000000
423	2	2	0.000000
424	2	2	0.000000
425	1	3	0.000000
426	1	2	0.000000
427	1	1	0.000000
428	1	3	0.000000
429	1	3	0.000000
430	1	1	0.000000
431	1	2	0.000000
432	1	2	0.000000
433	2	2	0.000000
434	2	2	0.000000
435	2	0	0.000000
436	2	4	0.000000
437	2	0	0.000000
438	2	0	0.000000
439	2	0	0.000000
440	2	0	0.000000
441	2	2	0.000000
442	2	4	0.000000
443	2	0	0.000000
444	3	2	0.000000
445	3	3	0.000000
446	3	3	0.000000
447	3	2	0.000000
448	3	2	0.000000
449	3	1	0.000000
450	3	1	0.000000
451	3	2	0.000000
452	3	2	0.000000
453	2	0	0.000000
454	2	2	0.000000
455	2	2	0.000000
456	2	4	0.000000
457	2	2	0.000000
458	2	2	0.000000
459	2	2	0.000000
460	2	2	0.000000
461	2	2	0.000000
462	1	2	0.000000
463	1	2	0.000000
464	1	2	0.000000
465	1	2	0.000000
466	1	2	0.000000
467	1	2	0.000000
468	1	2	0.000000
469	1	2	0.000000
470	1	2	0.000000
471	1	2	0.000000
472	1	1	0.000000
473	1	2	0.000000
474	2	2	0.000000
475	2	4	0.000000
476	2	0	0.000000
477	3	2	0.000000
478	3	1	0.000000
479	3	2	0.000000
480	3	2	0.000000
481	4	1	0.000000
482	4	2	0.000000
483	4	2	0.000000
484	4	1	0.000000
485	4	3	0.000000
486	4	1	0.000000
487	3	0	0.000000
488	3	2	0.000000
489	3	3	0.000000
490	3	3	0.000000
491	3	2	0.000000
492	3	2	0.000000
493	3	2	0.000000
494	3	2	0.000000
495	3	3	0.000000
496	3	2	0.000000
497	3	2	0.000000
498	3	2	0.000000
499	3	2	0.000000
500	3	2	0.000000
501	3	2	0.000000
502	3	1	0.000000
503	3	2	0.000000
504	3	2	0.000000
505	3	0	0.000000
506	4	0	0.000000
507	4	1	0.000000
508	4	2	0.000000
509	4	1	0.000000
510	4	0	0.000000
511	4	3	0.000000
512	4	3	0.000000
513	4	2	0.000000
514	4	1	0.000000
515	4	2	0.000000
516	4	1	0.000000
517	4	3	0.000000
518	4	3	0.000000
519	4	2	0.000000
520	4	2	0.000000
521	3	2	0.000000
522	3	1	0.000000
523	3	2	0.000000
524	3	2	0.000000
525	3	2	0.000000
526	3	2	0.000000
527	3	3	0.000000
528	3	2	0.000000
529	3	2	0.000000
530	3	2	0.000000
531	3	2	0.000000
532	3	2	0.000000
533	3	2	0.000000
534	3	1	0.000000
535	3	3	0.000000
536	3	2	0.000000
537	3	2	0.000000
538	3	1	0.000000
539	3	3	0.000000
540	3	1	0.000000
541	2	3	0.000000
542	2	5	0.000000
543	2	0	0.000000
544	2	2	0.000000
545	2	2	0.000000
546	2	2	0.000000
547	2	1	0.000000
548	2	0	0.000000
549	2	2	0.000000
550	2	5	0.000000
551	2	5	0.000000
552	2	1	0.000000
553	2	2	0.000000
554	2	2	0.000000
555	2	2	0.000000
556	2	0	0.000000
557	2	2	0.000000
558	2	2	0.000000
559	2	3	0.000000
560	2	5	0.000000
561	1	2	0.000000
562	1	2	0.000000
563	1	3	0.000000
564	1	2	0.000000
565	1	2	0.000000
566	1	2	0.000000
567	1	2	0.000000
568	1	0	0.000000
569	1	2	0.000000
570	1	0	0.000000
571	1	2	0.000000
572	1	2	0.000000
573	2	0	0.000000
574	2	0	0.000000
575	2	2	0.000000
576	3	2	0.000000
577	3	2	0.000000
578	3	1	0.000000
579	3	0	0.000000
580	3	2	0.000000
581	4	2	0.000000
582	4	2	0.000000
583	4	2	0.000000
584	4	2	0.000000
585	4	3	0.000000
586	4	2	0.000000
587	4	3	0.000000
588	3	0	0.000000
589	3	2	0.000000
590	3	3	0.000000
591	3	3	0.000000
592	3	2	0.000000
593	3	3	0.000000
594	3	2	0.000000
595	3	2	0.000000
596	3	1	0.000000
597	3	2	0.000000
598	3	0	0.000000
599	3	3	0.000000
600	3	2	0.000000
601	3	1	0.000000
602	3	3	0.000000
603	3	2	0.000000
604	3	2	0.000000
605	3	3	0.000000
606	3	2	0.000000
607	3	2	0.000000
608	3	2	0.000000
609	3	0	0.000000
610	3	3	0.000000
611	3	3	0.000000
612	3	2	0.000000
613	3	2	0.000000
614	3	3	0.000000
615	3	2	0.000000
616	3	2	0.000000
617	3	1	0.000000
618	3	2	0.000000
619	3	2	0.000000
620	3	2	0.000000
621	3	3	0.000000
622	3	0	0.000000
623	3	3	0.000000
624	3	2	0.000000
625	3	2	0.000000
626	3	2	0.000000
627	3	2	0.000000
628	3	3	0.000000
629	3	3	0.000000
630	3	0	0.000000
631	3	2	0.000000
632	3	3	0.000000
633	3	0	0.000000
634	3	2	0.000000
635	3	3	0.000000
636	3	0	0.000000
637	3	2	0.000000
638	3	3	0.000000
639	2	3	0.000000
640	2	2	0.000000
641	2	2	0.000000
642	2	2	0.000000
643	2	0	0.000000
644	2	1	0.000000
645	2	2	0.000000
646	2	0	0.000000
647	2	2	0.000000
648	2	4	0.000000
649	2	2	0.000000
650	2	2	0.000000
651	2	1	0.000000
652	2	2	0.000000
653	2	2	0.000000
654	2	2	0.000000
655	2	3	0.000000
656	2	4	0.000000
657	2	2	0.000000
658	2	4	0.000000
659	2	2	0.000000
660	2	0	0.000000
661	2	2	0.000000
662	2	1	0.000000
663	2	2	0.000000
664	2	2	0.000000
665	2	2	0.000000
666	2	2	0.000000
667	2	5	0.000000
668	2	2	0.000000
669	2	3	0.000000
670	2	4	0.000000
671	2	4	0.000000
672	2	1	0.000000
673	2	1	0.000000
674	2	1	0.000000
675	2	2	0.000000
676	2	4	0.000000
677	2	3	0.000000
678	1	3	0.000000
679	2	2	0.000000
680	2	5	0.000000
681	2	1	0.000000
682	2	2	0.000000
683	1	0	0.000000
684	2	4	0.000000
685	2	3	0.000000
686	1	1	0.000000
687	1	0	0.000000
688	1	2	0.000000
689	1	0	0.000000
690	1	2	0.000000
691	1	2	0.000000
692	1	2	0.000000
693	1	2	0.000000
694	1	0	0.000000
695	1	3	0.000000
696	2	1	0.000000
697	2	2	0.000000
698	2	4	0.000000
699	2	2	0.000000
700	2	3	0.000000
701	2	2	0.000000
702	3	2	0.000000
703	3	3	0.000000
704	3	3	0.000000
705	3	3	0.000000
706	3	2	0.000000
707	3	3	0.000000
708	3	2	0.000000
709	3	2	0.000000
710	3	2	0.000000
711	3	2	0.000000
712	2	5	0.000000
713	2	3	0.000000
714	2	0	0.000000
715	2	3	0.000000
716	2	0	0.000000
717	2	5	0.000000
718	2	3	0.000000
719	2	2	0.000000
720	2	2	0.000000
721	2	2	0.000000
722	2	1	0.000000
723	2	2	0.000000
724	3	0	0.000000
725	3	2	0.000000
726	3	2	0.000000
727	3	3	0.000000
728	3	2	0.000000
729	3	0	0.000000
730	3	3	0.000000
731	2	2	0.000000
732	2	3	0.000000
733	2	2	0.000000
734	2	5	0.000000
735	2	2	0.000000
736	2	2	0.000000
737	2	5	0.000000
738	2	3	0.000000
739	2	4	0.000000
740	2	2	0.000000
741	2	1	0.000000
742	2	1	0.000000
743	2	2	0.000000
744	2	1	0.000000
745	2	2	0.000000
746	2	2	0.000000
747	2	0	0.000000
748	2	2	0.000000
749	2	2	0.000000
750	2	2	0.000000
751	2	4	0.000000
752	2	2	0.000000
753	2	2	0.000000
754	2	2	0.000000
755	2	4	0.000000
756	2	2	0.000000
757	2	2	0.000000
758	2	0	0.000000
759	2	2	0.000000
760	2	5	0.000000
761	2	2	0.000000
762	2	2	0.000000
763	2	2	0.000000
764	2	2	0.000000
765	2	2	0.000000
766	2	3	0.000000
767	2	0	0.000000
768	2	1	0.000000
769	2	2	0.000000
770	2	2	0.000000
771	2	2	0.000000
772	3	3	0.000000
773	3	2	0.000000
774	3	2	0.000000
775	3	2	0.000000
776	3	2	0.000000
777	3	1	0.000000
778	3	2	0.000000
779	3	2	0.000000
780	3	2	0.000000
781	3	1	0.000000
782	3	2	0.000000
783	3	2	0.000000
784	3	0	0.000000
785	3	1	0.000000
786	3	2	0.000000
787	3	2	0.000000
788	3	2	0.000000
789	3	0	0.000000
790	3	3	0.000000
791	3	2	0.000000
792	3	2	0.000000
793	3	3	0.000000
794	3	0	0.000000
795	3	3	0.000000
796	3	1	0.000000
797	3	2	0.000000
798	3	1	0.000000
799	3	2	0.000000
800	3	3	0.000000
801	3	2	0.000000
802	3	2	0.000000
803	3	2	0.000000
804	3	0	0.000000
805	3	3	0.000000
806	3	0	0.000000
807	3	3	0.000000
808	3	1	0.000000
809	3	2	0.000000
810	3	1	0.000000
811	3	2	0.000000
812	3	2	0.000000
813	3	0	0.000000
814	3	2	0.000000
815	3	0	0.000000
816	3	3	0.000000
817	2	2	0.000000
818	2	0	0.000000
819	2	2	0.000000
820	3	2	0.000000
821	3	2	0.000000
822	2	2	0.000000
823	2	2	0.000000
824	2	4	0.000000
825	2	5	0.000000
826	2	2	0.000000
827	2	5	0.000000
828	2	2	0.000000
829	2	2	0.000000
830	2	0	0.000000
831	2	2	0.000000
832	2	2	0.000000
833	2	2	0.000000
834	2	5	0.000000
835	2	2	0.000000
836	2	4	0.000000
837	2	5	0.000000
838	2	3	0.000000
839	2	5	0.000000
840	2	2	0.000000
841	2	3	0.000000
842	2	2	0.000000
843	2	0	0.000000
844	2	3	0.000000
845	2	1	0.000000
846	2	2	0.000000
847	2	2	0.000000
848	1	3	0.000000
849	2	3	0.000000
850	1	1	0.000000
851	2	4	0.000000
852	2	2	0.000000
853	2	1	0.000000
854	2	2	0.000000
855	2	4	0.000000
856	2	2	0.000000
857	2	4	0.000000
858	1	3	0.000000
859	1	3	0.000000
860	1	1	0.000000
861	1	2	0.000000
862	1	2	0.000000
863	1	1	0.000000
864	1	2	0.000000
865	1	1	0.000000
866	1	0	0.000000
867	1	2	0.000000
868	2	2	0.000000
869	2	2	0.000000
870	2	0	0.000000
871	2	2	0.000000
872	3	2	0.000000
873	3	2	0.000000
874	3	2	0.000000
875	3	1	0.000000
876	3	2	0.000000
877	3	2	0.000000
878	3	2	0.000000
879	3	2	0.000000
880	3	2	0.000000
881	3	2	0.000000
882	3	2	0.000000
883	3	1	0.000000
884	2	5	0.000000
885	2	2	0.000000
886	2	5	0.000000
887	2	4	0.000000
888	2	2	0.000000
889	2	2	0.000000
890	2	2	0.000000
891	2	2	0.000000
892	2	2	0.000000
893	2	4	0.000000
894	2	0	0.000000
895	2	0	0.000000
896	2	2	0.000000
897	2	2	0.000000
898	2	2	0.000000
899	2	2	0.000000
900	2	5	0.000000
901	2	2	0.000000
902	2	4	0.000000
903	2	2	0.000000
904	2	5	0.000000
905	2	0	0.000000
906	2	2	0.000000
907	2	2	0.000000
908	2	2	0.000000
909	2	2	0.000000
910	2	2	0.000000
911	2	1	0.000000
912	2	1	0.000000
913	2	2	0.000000
914	2	2	0.000000
915	2	2	0.000000
916	2	2	0.000000
917	2	2	0.000000
918	2	4	0.000000
919	1	2	0.000000
920	1	3	0.000000
921	1	2	0.000000
922	1	2	0.000000
923	1	2	0.000000
924	1	2	0.000000
925	1	0	0.000000
926	1	2	0.000000
927	1	2	0.000000
928	1	2	0.000000
929	1	2	0.000000
930	1	0	0.000000
931	2	2	0.000000
932	2	2	0.000000
933	2	5	0.000000
934	2	2	0.000000
935	2	2	0.000000
936	2	3	0.000000
937	3	0	0.000000
938	3	2	0.000000
939	3	2	0.000000
940	3	2	0.000000
941	3	2	0.000000
942	3	2	0.000000
943	2	5	0.000000
944	2	2	0.000000
945	2	2	0.000000
946	2	2	0.000000
947	2	3	0.000000
948	2	0	0.000000
949	2	0	0.000000
950	2	4	0.000000
951	2	1	0.000000
952	2	2	0.000000
953	2	2	0.000000
954	2	5	0.000000
955	2	5	0.000000
956	2	4	0.000000
957	2	2	0.000000
958	2	2	0.000000
959	2	2	0.000000
960	2	2	0.000000
961	1	2	0.000000
962	1	2	0.000000
963	1	1	0.000000
964	1	2	0.000000
965	1	3	0.000000
966	1	2	0.000000
967	1	1	0.000000
968	1	2	0.000000
969	1	0	0.000000
970	1	2	0.000000
971	1	0	0.000000
972	1	1	0.000000
973	2	4	0.000000
974	2	2	0.000000
975	2	5	0.000000
976	2	0	0.000000
977	2	5	0.000000
978	2	2	0.000000
979	2	2	0.000000
980	2	1	0.000000
981	2	1	0.000000
982	2	2	0.000000
983	2	2	0.000000
984	2	2	0.000000
985	2	2	0.000000
986	2	1	0.000000
987	2	5	0.000000
988	2	5	0.000000
989	2	3	0.000000
990	2	2	0.000000
991	2	3	0.000000
992	2	2	0.000000
993	2	2	0.000000
994	2	2	0.000000
995	2	2	0.000000
996	2	0	0.000000
997	2	2	0.000000
998	2	2	0.000000
999	2	1	0.000000
1000	2	3	0.000000
1001	2	2	0.000000
1002	1	0	0.000000
1003	2	1	0.000000
1004	1	2	0.000000
1005	1	3	0.000000
1006	1	2	0.000000
1007	1	2	0.000000
1008	1	2	0.000000
1009	2	2	0.000000
1010	2	4	0.000000
1011	2	1	0.000000
1012	2	5	0.000000
1013	2	5	0.000000
1014	2	2	0.000000
1015	2	2	0.000000
1016	2	2	0.000000
1017	3	2	0.000000
1018	3	2	0.000000
1019	3	0	0.000000
1020	3	2	0.000000
1021	2	2	0.000000
1022	2	2	0.000000
1023	2	2	0.000000
1024	2	5	0.000000
1025	2	2	0.000000
1026	2	2	0.000000
1027	2	3	0.000000
1028	2	2	0.000000
1029	1	2	0.000000
1030	1	2	0.000000
1031	1	2	0.000000
1032	1	3	0.000000
1033	1	0	0.000000
1034	1	2	0.000000
1035	1	0	0.000000
1036	1	1	0.000000
1037	1	3	0.000000
1038	1	2	0.000000
1039	1	0	0.000000
1040	1	3	0.000000
1041	1	3	0.000000
1042	1	2	0.000000
1043	1	2	0.000000
1044	2	2	0.000000
1045	2	2	0.000000
1046	2	2	0.000000
1047	2	2	0.000000
1048	2	0	0.000000
1049	3	3	0.000000
1050	3	2	0.000000
1051	3	2	0.000000
1052	3	2	0.000000
1053	3	2	0.000000
1054	3	3	0.000000
1055	3	1	0.000000
1056	3	2	0.000000
1057	3	0	0.000000
1058	3	1	0.000000
1059	3	0	0.000000
1060	3	2	0.000000
1061	3	0	0.000000
1062	3	0	0.000000
1063	3	3	0.000000
1064	3	2	0.000000
1065	3	2	0.000000
1066	3	2	0.000000
1067	3	2	0.000000
1068	3	2	0.000000
1069	3	3	0.000000
1070	3	0	0.000000
1071	3	2	0.000000
1072	3	3	0.000000
1073	3	2	0.000000
1074	3	2	0.000000
1075	3	3	0.000000
1076	3	0	0.000000
1077	4	3	0.000000
1078	4	2	0.000000
1079	4	1	0.000000
1080	4	2	0.000000
1081	4	1	0.000000
1082	4	2	0.000000
1083	4	0	0.000000
1084	4	2	0.000000
1085	4	2	0.000000
1086	4	2	0.000000
1087	4	1	0.000000
1088	4	2	0.000000
1089	4	2	0.000000
1090	4	2	0.000000
1091	4	2	0.000000
1092	4	2	0.000000
1093	4	2	0.000000
1094	4	0	0.000000
1095	4	2	0.000000
1096	4	2	0.000000
1097	4	2	0.000000
1098	4	2	0.000000
1099	4	1	0.000000
1100	4	2	0.000000
1101	4	2	0.000000
1102	4	2	0.000000
1103	4	2	0.000000
1104	4	3	0.000000
1105	4	2	0.000000
1106	4	3	0.000000
1107	4	2	0.000000
1108	4	1	0.000000
1109	4	3	0.000000
1110	4	2	0.000000
1111	4	1	0.000000
1112	4	2	0.000000
1113	4	0	0.000000
1114	4	0	0.000000
1115	4	2	0.000000
1116	4	2	0.000000
1117	4	1	0.000000
1118	4	1	0.000000
1119	4	1	0.000000
1120	4	3	0.000000
1121	4	2	0.000000
1122	4	2	0.000000
1123	4	2	0.000000
1124	4	3	0.000000
1125	4	2	0.000000
1126	4	2	0.000000
1127	4	2	0.000000
1128	3	2	0.000000
1129	3	2	0.000000
1130	3	0	0.000000
1131	3	2	0.000000
1132	3	0	0.000000
1133	3	2	0.000000
1134	3	3	0.000000
1135	3	1	0.000000
1136	3	2	0.000000
1137	3	2	0.000000
1138	3	2	0.000000
1139	3	3	0.000000
1140	3	2	0.000000
1141	3	2	0.000000
1142	3	2	0.000000
1143	3	2	0.000000
1144	2	4	0.000000
1145	2	2	0.000000
1146	2	2	0.000000
1147	2	2	0.000000
1148	2	1	0.000000
1149	2	2	0.000000
1150	2	0	0.000000
1151	2	2	0.000000
1152	2	2	0.000000
1153	2	1	0.000000
1154	2	0	0.000000
1155	2	2	0.000000
1156	2	5	0.000000
1157	2	0	0.000000
1158	2	0	0.000000
1159	2	2	0.000000
1160	2	1	0.000000
1161	2	3	0.000000
1162	2	2	0.000000
1163	2	2	0.000000
1164	2	1	0.000000
1165	2	3	0.000000
1166	2	2	0.000000
1167	2	2	0.000000
1168	2	2	0.000000
1169	2	2	0.000000
1170	2	2	0.000000
1171	2	5	0.000000
1172	2	2	0.000000
1173	2	2	0.000000
1174	2	2	0.000000
1175	1	2	0.000000
1176	1	0	0.000000
