episodeIndex	52
epsilon	0.500000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	53	0.000000	53	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	51	145.000000	63	2.843137	28.014902	1.235294	0.223529	2.301587	0.989925	3.929705	0.607739	4.563075
1	1	0.000000	0	-nan	-nan	17	166.000000	22	9.764706	120.191176	1.294118	0.220588	7.545455	2.688178	14.631307	1.228442	18.234668
2	0	2.000000	1	2.000000	-nan	51	526.000000	94	10.313725	252.859608	1.843137	1.294902	5.595745	2.700339	9.707987	1.916967	11.490895
2	1	0.000000	0	-nan	-nan	21	310.000000	35	14.761905	242.190476	1.666667	0.533333	8.857143	3.840718	16.373262	2.405112	20.132092
3	0	3.000000	1	3.000000	-nan	51	1301.000000	123	25.509804	1248.694902	2.411765	2.847059	10.577236	5.394788	18.298836	4.026889	21.786553
3	1	0.000000	0	-nan	-nan	30	763.000000	49	25.433333	798.529885	1.633333	0.791954	15.571429	7.570849	27.658916	5.387569	33.449694
4	0	4.000000	1	4.000000	-nan	52	2640.000000	153	50.769231	4437.514329	2.942308	4.957391	17.254902	9.042750	29.853453	6.906758	35.691775
4	1	0.000000	0	-nan	-nan	30	1012.000000	58	33.733333	967.926437	1.933333	1.167816	17.448276	9.464038	29.644576	7.297294	35.545219
5	0	5.000000	1	5.000000	-nan	53	3439.000000	167	64.886792	7832.756168	3.150943	6.746009	20.592814	10.463813	36.685064	7.874106	44.379890
5	1	0.000000	0	-nan	-nan	23	1561.000000	55	67.869565	4815.209486	2.391304	2.521739	28.381818	12.300930	57.419134	8.146566	74.525302
6	0	18.000000	2	9.000000	18.000000	51	4294.000000	168	84.196078	15766.760784	3.294118	7.771765	25.559524	11.985727	47.613599	8.552521	58.377561
6	1	10.000000	1	10.000000	-nan	32	1982.000000	72	61.937500	4954.963710	2.250000	2.580645	27.527778	12.921987	52.259658	9.174466	65.329636
7	0	57.000000	5	11.400000	14.800000	49	5359.000000	189	109.367347	26407.987245	3.857143	12.375000	28.354497	12.879172	54.815693	9.048841	68.401785
7	1	15.000000	1	15.000000	-nan	32	1547.000000	57	48.343750	2809.329637	1.781250	1.531250	27.140351	13.124801	50.522863	9.503579	62.705518
8	0	56.000000	4	14.000000	18.666667	53	4916.000000	169	92.754717	17882.804064	3.188679	7.502177	29.088757	14.161975	53.288006	10.382605	65.075164
8	1	20.000000	1	20.000000	-nan	31	1616.000000	53	52.129032	2427.449462	1.709677	1.012903	30.490566	16.382684	52.368728	12.595035	63.058350
9	0	40.000000	2	20.000000	2.000000	53	3870.000000	130	73.018868	5368.557329	2.452830	1.867925	29.769231	18.659216	44.915649	15.587094	51.263253
