episodeIndex	79
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	80	0.000000	80	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	160.089348	67	2.389393	1.456483	80	13581.780336	5810	169.772254	505.914211	72.625000	85.806962	2.337656	2.204951	2.478187	2.162361	2.526870
1	1	4722.127816	2113	2.234798	0.698065	80	391399.082044	169287	4892.488526	17330.119369	2116.087500	846.916297	2.312045	2.290999	2.333221	2.284015	2.340306
1	2	182.926944	74	2.471986	1.829953	80	14277.210664	5917	178.465133	512.213892	73.962500	54.011234	2.412914	2.293033	2.538267	2.254243	2.581314
1	3	165.443009	72	2.297820	1.049428	80	13871.501858	5876	173.393773	583.413260	73.450000	76.908861	2.360705	2.227142	2.501627	2.184176	2.550322
2	0	110.307966	35	3.151656	9.102040	80	6389.689875	2236	79.871123	460.387175	27.950000	40.174684	2.857643	2.555129	3.192621	2.460743	3.312363
2	1	92.103638	29	3.175988	6.325487	80	6207.480459	2177	77.593506	406.065427	27.212500	34.042880	2.851392	2.561756	3.170330	2.471073	3.283887
2	2	66.041377	29	2.277289	0.390521	80	6062.352251	2136	75.779403	347.551279	26.700000	31.529114	2.838180	2.560462	3.143430	2.473409	3.251970
2	3	105.239828	32	3.288745	7.324192	80	6516.803164	2185	81.460040	497.217674	27.312500	34.369462	2.982519	2.670460	3.326185	2.572763	3.448555
2	4	82.771579	28	2.956128	5.585608	80	6474.074261	2223	80.925928	378.387456	27.787500	27.308703	2.912314	2.643473	3.204864	2.558672	3.308154
2	5	3330.413847	1187	2.805740	5.656625	80	269946.193659	94384	3374.327421	12693.982810	1179.800000	1687.174684	2.860084	2.816618	2.904236	2.802285	2.919101
3	0	137.906390	12	11.492199	16.802763	80	9834.988705	931	122.937359	1590.367816	11.637500	12.689715	10.563898	9.164406	12.169991	8.737253	12.759117
3	1	143.629028	14	10.259216	18.177559	80	9962.650524	938	124.533132	1721.197878	11.725000	12.176582	10.621163	9.210979	12.233339	8.779558	12.823045
3	2	132.590796	12	11.049233	18.309230	80	9853.040717	911	123.163009	1503.589406	11.387500	12.771994	10.815632	9.389244	12.458316	8.954803	13.062402
3	3	3384.403087	310	10.917429	18.402153	80	280554.065193	26523	3506.925815	183600.648956	331.537500	1332.403639	10.577765	10.039318	11.143512	9.865638	11.338440
4	0	20.650458	2	10.325229	0.267522	27	424.985324	33	15.740197	72.248177	1.222222	0.410256	12.878343	8.388281	19.716945	7.154366	23.059739
4	1	13.389643	1	13.389643	-nan	25	489.076139	37	19.563046	119.407695	1.480000	0.676667	13.218274	8.272611	21.108933	6.932655	25.175979
4	2	0.000000	0	-nan	-nan	26	458.988182	33	17.653392	55.488849	1.269231	0.284615	13.908733	9.863614	19.608239	8.701082	22.223534
4	3	121.444392	10	12.144439	0.771981	73	13037.917401	960	178.601608	17368.629330	13.150685	97.129756	13.581164	9.543847	19.345274	8.454511	21.855398
5	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	1	32.837089	3	32.837089	-nan	3.000000	-nan	10.945696	-nan	-nan	-nan	-nan
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
