-nan	-nan
-4.21726	-8.88475
-1.66406	-124.93
-0.622605	18.2077
-0.0750869	10.1315
0.46762	8.1582
0.638962	6.8876
0.772192	6.06711
0.700884	7.94639
0.77698	7.24997
0.844293	6.70098
0.904194	6.25733
1.07221	5.83552
1.10901	5.56544
1.14324	5.33007
1.17504	5.12346
1.28416	4.9524
1.30542	4.80285
1.32568	4.66717
1.34495	4.54363
1.42346	4.46097
1.43698	4.36339
1.5044	4.29959
1.51377	4.22022
1.52304	4.14572
1.53212	4.07577
1.34303	5.40483
1.35486	5.30136
1.44631	5.35834
1.50387	5.23294
1.50982	5.15227
1.51584	5.07506
1.52183	5.00129
1.52183	5.00129
1.57053	4.91054
1.5751	4.84621
1.57965	4.78452
1.5842	4.72523
1.6472	4.78569
1.64997	4.73155
1.65281	4.6793
1.68971	4.61824
1.74719	4.60823
1.74804	4.56385
1.80163	4.5561
1.86794	4.71674
1.89535	4.66187
1.92142	4.61042
1.91923	4.57412
1.91722	4.53869
1.94901	4.75843
1.94657	4.72275
1.94434	4.68779
1.94231	4.65355
1.96411	4.60885
1.96187	4.57716
1.98255	4.53632
1.98024	4.50675
1.97804	4.47781
2.01339	4.64445
2.03156	4.60487
2.06807	4.61594
2.06492	4.58936
2.11127	4.60738
2.1078	4.58178
2.1727	4.72841
2.16867	4.7028
2.16476	4.67764
2.16105	4.65276
2.17559	4.64772
2.17198	4.62341
2.16845	4.59954
2.16506	4.57602
2.16175	4.55293
2.15861	4.5301
2.18737	4.53944
2.18737	4.53944
2.18403	4.51772
2.1959	4.48964
2.20742	4.46257
2.23906	4.56125
2.26509	4.56572
2.27508	4.53874
2.27123	4.51986
2.26749	4.5012
2.26382	4.48282
2.31749	4.58541
2.32622	4.55982
2.32228	4.54188
2.31839	4.52421
2.3146	4.50674
2.33722	4.83001
2.33348	4.81088
2.32984	4.79196
2.39442	4.8759
2.44319	4.9956
2.43892	4.97644
2.43474	4.95748
2.44112	4.92962
2.4474	4.90246
2.44326	4.88471
2.43926	4.86706
2.43529	4.84966
2.46818	4.98755
2.4737	4.96133
2.49243	4.9519
2.48824	4.93537
2.49338	4.91077
2.50826	4.8999
2.50409	4.8842
