-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
6.000000	6.000000
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
1.817554	8.182446
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
2.578844	7.021156
3.243958	6.756042
3.243958	6.756042
3.243958	6.756042
3.243958	6.756042
3.687528	6.598187
3.687528	6.598187
3.687528	6.598187
4.005961	6.494039
4.005961	6.494039
4.005961	6.494039
4.005961	6.494039
4.005961	6.494039
4.005961	6.494039
3.533086	6.244692
3.533086	6.244692
3.533086	6.244692
3.533086	6.244692
3.593516	6.006484
3.593516	6.006484
2.101013	11.267711
2.395237	11.181647
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.492270	10.561393
2.578120	10.041026
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.771127	9.717256
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.832348	9.329976
2.887776	8.992224
2.887776	8.992224
3.036246	8.797608
2.965178	8.456535
3.167303	8.431117
3.167303	8.431117
3.167303	8.431117
3.167303	8.431117
3.353948	8.408354
3.353948	8.408354
3.578726	8.511136
3.578726	8.511136
3.578726	8.511136
3.578726	8.511136
3.578726	8.511136
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.494935	8.250095
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.510470	8.067994
3.525159	7.900874
3.525159	7.900874
3.525159	7.900874
3.525159	7.900874
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.539057	7.746958
3.471919	7.549577
3.471919	7.549577
3.471919	7.549577
3.552356	7.487853
3.552356	7.487853
3.552356	7.487853
3.552356	7.487853
3.552356	7.487853
3.552356	7.487853
3.552356	7.487853
3.564619	7.364741
3.564619	7.364741
3.564619	7.364741
3.564619	7.364741
3.564619	7.364741
3.637286	7.314287
3.637286	7.314287
3.637286	7.314287
3.637286	7.314287
3.637286	7.314287
3.705723	7.267430
3.705723	7.267430
3.705723	7.267430
3.705723	7.267430
3.705723	7.267430
3.644259	7.116062
3.644259	7.116062
3.644259	7.116062
3.652831	7.019932
3.652831	7.019932
3.652831	7.019932
3.652831	7.019932
3.652831	7.019932
3.652831	7.019932
3.661019	6.929558
3.661019	6.929558
3.661019	6.929558
3.661019	6.929558
3.701231	7.249184
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.880025	7.515139
3.930535	7.471684
3.930535	7.471684
3.930535	7.471684
3.930535	7.471684
3.930535	7.471684
3.930535	7.471684
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.874289	7.341161
3.996060	7.425463
3.996060	7.425463
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.040599	7.387820
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.037725	7.306673
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.219952	7.879727
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.257192	7.834149
4.292898	7.790728
4.292898	7.790728
4.327164	7.749318
4.327164	7.749318
4.327164	7.749318
4.327164	7.749318
4.327164	7.749318
4.360076	7.709780
4.360076	7.709780
4.360076	7.709780
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.351048	7.632751
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.297882	7.525754
4.290635	7.455308
4.290635	7.455308
4.283727	7.387610
4.283727	7.387610
4.283727	7.387610
4.347171	7.401162
4.347171	7.401162
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.297749	7.307009
4.290598	7.246618
4.290598	7.246618
4.451676	7.596242
4.451676	7.596242
4.451676	7.596242
4.451676	7.596242
4.451676	7.596242
4.441999	7.533044
4.441999	7.533044
4.432720	7.472017
4.432720	7.472017
4.432720	7.472017
4.432720	7.472017
4.432720	7.472017
4.432720	7.472017
4.432720	7.472017
4.423815	7.413051
4.423815	7.413051
