episodeIndex	24
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.020000	26	0.000769	0.000015	-0.000818	0.002357	-0.001382	0.002921
1	0	2038.604825	1158	1.760453	59.761315	75694.529776	25855	2.927655	471.423821	2.648965	3.206346	2.549982	3.305329
1	1	176.987375	75	2.359832	68.350248	4384.488271	1685	2.602070	331.170959	1.687084	3.517057	1.362105	3.842035
2	0	89.989384	44	2.045213	102.150233	1745.438026	996	1.752448	68.398393	1.211592	2.293304	1.019494	2.485401
2	1	172.467254	50	3.449345	181.476396	1812.050199	1046	1.732362	80.180894	1.160938	2.303785	0.957984	2.506739
2	2	1691.070434	973	1.737996	66.266867	39008.281845	22497	1.733933	68.716767	1.619866	1.847999	1.579353	1.888512
3	0	5.249474	21	0.249975	1.311803	53.638135	617	0.086934	0.433970	0.032197	0.141670	0.012757	0.161111
3	1	58.965635	482	0.122335	0.588711	1427.209647	12965	0.110082	2.761306	0.079961	0.140202	0.069264	0.150900
3	2	0.000097	14	0.000007	0.000000	38.935900	604	0.064463	0.366135	0.013649	0.115278	-0.004400	0.133326
4	0	48.473213	682	0.071075	0.282706	2346.916159	16656	0.140905	3.254305	0.112056	0.169754	0.101810	0.180001
4	1	3.893784	46	0.084647	0.329175	156.854171	1102	0.142336	0.780732	0.087401	0.197271	0.067890	0.216782
5	0	202.000320	1924	0.104990	0.191983	9379.907376	39718	0.236163	6.089855	0.210606	0.261719	0.201529	0.270796
5	1	14.002732	119	0.117670	0.181650	633.775157	2596	0.244135	7.123565	0.136021	0.352250	0.097621	0.390649
6	0	13.544052	103	0.131496	0.018408	499.144934	3141	0.158913	0.034480	0.152075	0.165751	0.149646	0.168180
6	1	0.527420	8	0.065928	0.006784	31.460558	199	0.158093	0.033145	0.131457	0.184729	0.121997	0.194190
