episodeIndex	93
epsilon	0.125000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	94	0.125000	95	0.001330	0.000166	1.010638	0.010638	0.001316	-0.001300	0.004044	-0.002147	0.004980
1	0	806.028956	300	2.686763	2.451984	90	63676.833329	23426	707.520370	7317.642387	260.288889	262.971785	2.718212	2.614149	2.825057	2.580075	2.861295
1	1	6.868139	3	2.289380	0.240669	90	2168.403204	812	24.093369	81.993083	9.022222	8.224220	2.670447	2.302974	3.090950	2.190615	3.244867
1	2	29.663119	11	2.696647	4.489193	90	2189.636412	778	24.329293	100.113118	8.644444	8.321598	2.814443	2.399828	3.292098	2.273575	3.467799
1	3	22.990372	8	2.873796	0.972428	90	2112.782014	786	23.475356	90.973932	8.733333	6.557303	2.688018	2.313188	3.112466	2.197845	3.266649
2	0	280.619799	63	4.454283	7.131908	91	30991.376289	6546	340.564575	3666.155563	71.934066	117.528938	4.734399	4.417008	5.072593	4.315549	5.190254
2	1	13494.745983	3021	4.466980	7.677374	92	1205410.796402	280943	13102.291265	3904606.296474	3053.728261	209461.211061	4.290588	4.028649	4.569502	3.944878	4.666492
2	2	283.736789	66	4.299042	6.024843	90	25166.815683	6417	279.631285	1555.629167	71.300000	74.234831	3.921897	3.709863	4.145066	3.641546	4.222049
2	3	432.977750	83	5.216599	9.179463	90	32239.751691	6575	358.219463	2627.502501	73.055556	78.322722	4.903384	4.635929	5.184920	4.549761	5.282047
2	4	377.777134	81	4.663915	8.983908	90	28567.101713	6490	317.412241	1665.478158	72.111111	49.875156	4.401711	4.194909	4.617270	4.127858	4.691134
2	5	266.005835	74	3.594673	6.137287	91	24955.966133	6490	274.241386	2193.577143	71.318681	123.619536	3.845295	3.589207	4.118766	3.507458	4.214055
3	0	506.433923	52	9.739114	18.189424	91	43529.432847	4126	478.345416	9315.089162	45.340659	67.471551	10.550032	9.730660	11.434394	9.470864	11.744843
3	1	13893.738960	1337	10.391727	19.502581	92	1230922.785273	117907	13379.595492	4343256.237526	1281.597826	38038.484830	10.439777	9.787354	11.135152	9.578831	11.377125
3	2	477.650463	47	10.162776	21.585480	93	41573.999162	3999	447.032249	11693.953330	43.000000	97.891304	10.396099	9.420834	11.469545	9.115398	11.851619
3	3	565.213409	55	10.276607	21.478474	92	43548.499054	4218	473.353251	11313.846636	45.847826	92.174391	10.324443	9.425314	11.306043	9.142278	11.653411
4	0	108.753330	7	15.536190	0.447494	90	10568.519202	696	117.427991	1578.203903	7.733333	6.849438	15.184654	13.154495	17.528194	12.537046	18.391509
4	1	3480.042519	230	15.130620	0.852104	91	311435.945142	20518	3422.373024	470871.181435	225.472527	1965.496459	15.178670	13.959923	16.502689	13.575088	16.969612
4	2	95.227940	6	15.871323	0.009652	91	11065.082111	727	121.594309	2882.278158	7.989011	12.344322	15.220195	12.635247	18.332723	11.868607	19.515848
4	3	107.290326	7	15.327189	0.505460	90	10489.336346	693	116.548182	2220.727775	7.700000	9.605618	15.136127	12.753539	17.962628	12.040673	19.025103
5	0	0.000000	0	-nan	-nan	1	15.509808	1	15.509808	-nan	1.000000	-nan	15.509808	-nan	-nan	-nan	-nan
5	1	0.000000	0	-nan	-nan	2	204.061359	13	102.030679	1281.949178	6.500000	4.500000	15.697028	-8.594063	-33.737517	-14.802134	-19.257814
5	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
5	3	0.000000	0	-nan	-nan	2	47.247334	3	23.623667	133.870488	1.500000	0.500000	15.749111	-10.229182	-26.287965	-14.917542	-17.951004
6	0	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	1	0.000000	0	-nan	-nan	1	15.365428	1	15.365428	-nan	1.000000	-nan	15.365428	-nan	-nan	-nan	-nan
6	2	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
6	3	0.000000	0	-nan	-nan	0	0.000000	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
