#episodeIndex	997
#state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	2906.000000	1350	2.152593	6.320657	2.015157	2.290028	1.969365	2.335820
1	1	0.000000	0	-nan	-nan	247.000000	71	3.478873	6.681690	2.862706	4.095040	2.657405	4.300342
2	0	2.000000	1	2.000000	-nan	8188.000000	1868	4.383298	15.685891	4.199241	4.567354	4.137915	4.628680
2	1	0.000000	0	-nan	-nan	780.000000	129	6.046512	20.279070	5.250144	6.842880	4.984801	7.108222
3	0	3.000000	1	3.000000	-nan	13645.000000	2031	6.718365	26.486160	6.488994	6.947737	6.412570	7.024161
3	1	0.000000	0	-nan	-nan	1203.000000	143	8.412587	30.863784	7.479460	9.345715	7.168550	9.656625
4	0	4.000000	1	4.000000	-nan	18468.000000	2035	9.075184	35.331119	8.810529	9.339840	8.722348	9.428021
4	1	0.000000	0	-nan	-nan	1270.000000	131	9.694656	36.275279	8.637707	10.751606	8.285541	11.103772
5	0	12.000000	2	6.000000	2.000000	23161.000000	2049	11.303563	44.233977	11.008447	11.598678	10.910118	11.697008
5	1	0.000000	0	-nan	-nan	1821.000000	139	13.100719	42.685434	11.987663	14.213776	11.616803	14.584636
6	0	14.000000	2	7.000000	2.000000	28290.000000	2128	13.294173	47.920944	12.992760	13.595586	12.892332	13.696014
6	1	0.000000	0	-nan	-nan	2254.000000	133	16.947368	72.338118	15.466071	18.428666	14.972515	18.922221
7	0	9.000000	1	9.000000	-nan	32028.000000	2100	15.251429	50.623747	14.939574	15.563283	14.835667	15.667190
7	1	0.000000	0	-nan	-nan	2500.000000	144	17.361111	58.274281	16.083373	18.638849	15.657642	19.064580
8	0	10.000000	1	10.000000	-nan	35424.000000	2081	17.022585	51.907663	16.705363	17.339808	16.599667	17.445504
8	1	0.000000	0	-nan	-nan	2418.000000	137	17.649635	38.641048	16.582919	18.716351	16.227499	19.071771
9	0	11.000000	1	11.000000	-nan	29221.000000	1613	18.115933	51.771291	17.756091	18.475775	17.636195	18.595671
