episodeIndex	437
state	control	total_cost_at_episode	total_count_at_episode	mean_cost_at_episode	unbiased_variance_cost_at_episode	total_cost	total_count	mean_cost	unbiased_variance_cost	95%_confidence_interval_min	95%_confidence_interval_max	99%_confidence_interval_min	99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	0.000000	438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	1208.000000	578	2.089965	6.553417	1.876093	2.303838	1.804833	2.375098
1	1	0.000000	0	-nan	-nan	117.000000	25	4.680000	21.560000	2.814742	6.545258	2.193254	7.166746
2	0	2.000000	1	2.000000	-nan	3546.000000	796	4.454774	18.404241	4.149361	4.760187	4.047600	4.861947
2	1	0.000000	0	-nan	-nan	352.000000	51	6.901961	30.290196	5.354034	8.449888	4.838278	8.965644
3	0	3.000000	1	3.000000	-nan	6326.000000	910	6.951648	31.944854	6.575322	7.327974	6.449934	7.453363
3	1	5.000000	1	5.000000	-nan	624.000000	64	9.750000	30.666667	8.359638	11.140362	7.896382	11.603618
4	0	10.000000	2	5.000000	2.000000	9274.000000	978	9.482618	44.018633	9.056496	9.908739	8.914516	10.050719
4	1	0.000000	0	-nan	-nan	750.000000	67	11.194030	43.643600	9.572939	12.815121	9.032805	13.355254
5	0	16.000000	2	8.000000	2.000000	11109.000000	955	11.632461	53.578610	11.156711	12.108211	10.998195	12.266726
5	1	0.000000	0	-nan	-nan	930.000000	66	14.090909	58.237762	12.204156	15.977662	11.575507	16.606311
6	0	44.000000	4	11.000000	6.666667	12570.000000	914	13.752735	58.598158	13.244162	14.261308	13.074710	14.430761
6	1	0.000000	0	-nan	-nan	1000.000000	67	14.925373	51.191316	13.169693	16.681053	12.584716	17.266030
7	0	75.000000	5	15.000000	10.000000	14653.000000	929	15.772874	58.604608	15.268396	16.277353	15.100308	16.445440
7	1	0.000000	0	-nan	-nan	1178.000000	60	19.633333	89.287006	17.183125	22.083542	16.366737	22.899930
8	0	54.000000	3	18.000000	4.000000	16602.000000	933	17.794212	62.953314	17.272473	18.315951	17.098635	18.489790
8	1	0.000000	0	-nan	-nan	1410.000000	65	21.692308	83.403846	19.417100	23.967515	18.659022	24.725594
9	0	21.000000	1	21.000000	-nan	13668.000000	722	18.930748	67.029872	18.318750	19.542746	18.114837	19.746659
