episodeIndex	77
epsilon	0.500000
01_state	02_control	03_total_cost_at_episode	04_total_count_at_episode	05_mean_cost_at_episode	06_unbiased_variance_cost_at_episode	07_total_select_episode_count	08_total_cost	09_total_count	10_total_mean_cost_sum	11_total_unbiased_variance_cost_sum	12_total_mean_count	13_total_unbiased_variance_count	14_mean_cost	15_95%_confidence_interval_min	16_95%_confidence_interval_max	17_99%_confidence_interval_min	18_99%_confidence_interval_max
0	0	0.000000	1	0.000000	-nan	78	0.000000	78	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	0	1.000000	1	1.000000	-nan	74	232.000000	92	3.135135	49.186968	1.243243	0.213995	2.521739	1.108294	4.204148	0.686233	4.838145
1	1	0.000000	0	-nan	-nan	21	195.000000	27	9.285714	235.614286	1.285714	0.414286	7.222222	1.456009	16.392026	-0.145368	21.235843
2	0	2.000000	1	2.000000	-nan	74	1018.000000	145	13.756757	648.542762	1.959459	1.738060	7.020690	3.444907	11.929343	2.459806	13.998151
2	1	10.000000	2	5.000000	2.000000	36	590.000000	58	16.388889	421.673016	1.611111	0.930159	10.172414	4.872918	18.163935	3.449009	21.913694
3	0	34.000000	4	8.500000	51.666667	76	2298.000000	200	30.236842	2142.823158	2.631579	4.502456	11.490000	6.272024	19.089054	4.878563	22.454528
3	1	0.000000	0	-nan	-nan	35	1017.000000	57	29.057143	2712.526050	1.628571	1.181513	17.842105	5.577720	37.403250	2.365343	47.083716
4	0	46.000000	3	15.333333	41.333333	75	3852.000000	224	51.360000	7585.530811	2.986667	6.770090	17.196429	8.679408	30.026732	6.443822	35.877806
4	1	78.000000	3	26.000000	84.000000	39	1514.000000	72	38.820513	2194.045884	1.846154	1.659919	21.027778	10.441098	37.804772	7.683212	45.975397
5	0	149.000000	7	21.285714	92.571429	76	4831.000000	243	63.565789	8168.168947	3.197368	7.387193	19.880658	11.178790	32.821206	8.879709	38.656518
5	1	79.000000	3	26.333333	97.333333	38	2296.000000	88	60.421053	5310.466572	2.315789	2.870555	26.090909	12.694865	47.969729	9.248748	58.950835
6	0	160.000000	7	22.857143	86.476190	74	6032.000000	261	81.513514	14560.855979	3.527027	9.019807	23.111111	12.614769	38.816954	9.850255	45.937367
6	1	46.000000	2	23.000000	162.000000	41	2232.000000	79	54.439024	3032.102439	1.926829	1.369512	28.253165	16.138998	46.113563	12.879092	54.236379
7	0	89.000000	3	29.666667	377.333333	76	6616.000000	250	87.052632	15984.797193	3.289474	8.288421	26.464000	14.653801	44.240132	11.552480	52.340654
7	1	60.000000	2	30.000000	98.000000	49	2947.000000	101	60.142857	4240.833333	2.061224	2.100340	29.178218	16.725626	47.933372	13.449087	56.507780
8	0	186.000000	4	46.500000	59.666667	75	6844.000000	241	91.253333	11414.137658	3.213333	6.548468	28.398340	17.461949	44.289859	14.538030	51.314536
8	1	228.000000	5	45.600000	14.800000	41	2690.000000	94	65.609756	2914.243902	2.292683	1.862195	28.617021	17.834396	44.388358	14.920914	51.511938
9	0	372.000000	8	46.500000	31.714286	78	5592.000000	194	71.692308	5388.371628	2.487179	3.915418	28.824742	18.724706	43.387020	16.013466	49.781516
