2	0	2.000000	1	2.000000	-nan	1	2.000000	1	2.000000	-nan	1.000000	-nan	2.000000	-nan	-nan	-nan	-nan
2	0	2.000000	1	2.000000	-nan	2	4.000000	2	2.000000	0.000000	1.000000	0.000000	2.000000	2.000000	2.000000	2.000000	2.000000
2	0	2.000000	1	2.000000	-nan	3	6.000000	3	2.000000	0.000000	1.000000	0.000000	2.000000	2.000000	2.000000	2.000000	2.000000
2	0	2.000000	1	2.000000	-nan	4	8.000000	4	2.000000	0.000000	1.000000	0.000000	2.000000	2.000000	2.000000	2.000000	2.000000
2	0	16.000000	3	5.333333	9.333333	5	24.000000	7	4.800000	39.200000	1.400000	0.800000	3.428571	-1.184606	43.445370	-2.496104	-40.058749
2	0	20.000000	4	5.000000	6.666667	6	44.000000	11	7.333333	69.866667	1.833333	1.766667	4.000000	-0.445607	36.730795	-1.597981	-59.479822
2	0	70.000000	7	10.000000	48.000000	7	114.000000	18	16.285714	619.238095	2.571429	5.285714	6.333333	-1.432316	88.285908	-3.208035	-78.676892
2	0	2.000000	1	2.000000	-nan	8	116.000000	19	14.500000	556.285714	2.375000	4.839286	6.105263	-1.238255	63.852940	-2.880560	-125.971142
2	0	2.000000	1	2.000000	-nan	9	118.000000	20	13.111111	504.111111	2.222222	4.444444	5.900000	-1.079274	50.470607	-2.620237	-281.667907
2	0	2.000000	1	2.000000	-nan	10	120.000000	21	12.000000	460.444444	2.100000	4.100000	5.714286	-0.944094	41.979385	-2.404286	1783.800857
2	0	6.000000	2	3.000000	2.000000	11	126.000000	23	11.454545	417.672727	2.090909	3.690909	5.478261	-0.672837	31.470714	-2.056296	121.461674
2	0	2.000000	1	2.000000	-nan	12	128.000000	24	10.666667	387.151515	2.000000	3.454545	5.333333	-0.576868	28.285901	-1.902242	84.855292
2	0	2.000000	1	2.000000	-nan	13	130.000000	25	10.000000	360.666667	1.923077	3.243590	5.200000	-0.490230	25.727948	-1.765501	65.663277
2	0	2.000000	1	2.000000	-nan	14	132.000000	26	9.428571	337.494505	1.857143	3.054945	5.076923	-0.411170	23.627828	-1.642418	53.816513
2	0	2.000000	1	2.000000	-nan	15	134.000000	27	8.933333	317.066667	1.800000	2.885714	4.962963	-0.338415	21.872265	-1.530406	45.759120
2	0	6.000000	2	3.000000	2.000000	16	140.000000	29	8.750000	296.466667	1.812500	2.695833	4.827586	-0.158122	19.118028	-1.301857	35.549104
2	0	2.000000	1	2.000000	-nan	17	142.000000	30	8.352941	280.617647	1.764706	2.566176	4.733333	-0.100435	18.028244	-1.211870	32.099375
2	0	10.000000	2	5.000000	18.000000	18	152.000000	32	8.444444	264.261438	1.777778	2.418301	4.750000	0.141297	16.455195	-0.936742	27.323886
2	0	6.000000	2	3.000000	2.000000	19	158.000000	34	8.315789	249.894737	1.789474	2.286550	4.647059	0.276595	15.023858	-0.761547	23.712577
2	0	2.000000	1	2.000000	-nan	20	160.000000	35	8.000000	238.736842	1.750000	2.197368	4.571429	0.314539	14.420373	-0.698387	22.308083
2	0	2.000000	1	2.000000	-nan	21	162.000000	36	7.714286	228.514286	1.714286	2.114286	4.500000	0.350671	13.868519	-0.638767	21.073629
2	0	22.000000	4	5.500000	11.666667	22	184.000000	40	8.363636	226.909091	1.818182	2.251082	4.600000	0.678445	13.046794	-0.267787	19.130783
2	0	12.000000	2	6.000000	32.000000	23	196.000000	42	8.521739	217.169960	1.826087	2.150198	4.666667	0.873559	12.495401	-0.051998	17.820603
2	0	2.000000	1	2.000000	-nan	24	198.000000	43	8.250000	209.500000	1.791667	2.085145	4.604651	0.890357	12.151342	-0.016922	17.158814
2	0	38.000000	5	7.600000	14.800000	25	236.000000	48	9.440000	236.173333	1.920000	2.410000	4.916667	1.209161	12.338691	0.302454	17.151674
2	0	6.000000	2	3.000000	2.000000	26	242.000000	50	9.307692	227.181538	1.923077	2.313846	4.840000	1.268883	11.764260	0.387755	16.075808
2	0	2.000000	1	2.000000	-nan	27	244.000000	51	9.037037	220.421652	1.888889	2.256410	4.784314	1.274173	11.516622	0.407703	15.637848
2	0	2.000000	1	2.000000	-nan	28	246.000000	52	8.785714	214.026455	1.857143	2.201058	4.730769	1.279766	11.279276	0.427298	15.223252
2	0	2.000000	1	2.000000	-nan	29	248.000000	53	8.551724	207.970443	1.827586	2.147783	4.679245	1.285595	11.051839	0.446528	14.830612
2	0	2.000000	1	2.000000	-nan	30	250.000000	54	8.333333	202.229885	1.800000	2.096552	4.629630	1.291601	10.833919	0.465387	14.458559
2	0	6.000000	2	3.000000	2.000000	31	256.000000	56	8.258065	195.664516	1.806452	2.027957	4.571429	1.342845	10.426678	0.537566	13.749541
2	0	72.000000	4	18.000000	232.000000	32	328.000000	60	10.250000	316.322581	1.875000	2.112903	5.466667	1.599643	12.334000	0.628881	16.136034
2	0	2.000000	1	2.000000	-nan	33	330.000000	61	10.000000	308.500000	1.848485	2.070076	5.409836	1.599226	12.125662	0.641982	15.803245
2	0	2.000000	1	2.000000	-nan	34	332.000000	62	9.764706	301.033868	1.823529	2.028520	5.354839	1.599193	11.924276	0.654991	15.483769
2	0	2.000000	1	2.000000	-nan	35	334.000000	63	9.542857	293.902521	1.800000	1.988235	5.301587	1.599492	11.729642	0.667893	15.177028
2	0	6.000000	2	3.000000	2.000000	36	340.000000	65	9.444444	285.853968	1.805556	1.932540	5.230769	1.636204	11.357920	0.726046	14.576612
2	0	2.000000	1	2.000000	-nan	37	342.000000	66	9.243243	279.411411	1.783784	1.896396	5.181818	1.636245	11.185333	0.737676	14.310689
2	0	2.000000	1	2.000000	-nan	38	344.000000	67	9.052632	273.240398	1.763158	1.861309	5.134328	1.636542	11.018203	0.749204	14.054566
2	0	2.000000	1	2.000000	-nan	39	346.000000	68	8.871795	267.325236	1.743590	1.827260	5.088235	1.637063	10.856356	0.760620	13.807827
2	0	2.000000	1	2.000000	-nan	40	348.000000	69	8.700000	261.651282	1.725000	1.794231	5.043478	1.637781	10.699604	0.771916	13.570062
2	0	30.000000	5	6.000000	10.000000	41	378.000000	74	9.219512	266.175610	1.804878	2.010976	5.108108	1.806851	10.586753	0.968731	13.359324
2	0	2.000000	1	2.000000	-nan	42	380.000000	75	9.047619	260.924506	1.785714	1.977352	5.066667	1.804901	10.449813	0.976031	13.154448
2	0	8.000000	2	4.000000	8.000000	43	388.000000	77	9.023256	254.737542	1.790698	1.931340	5.038961	1.853296	10.223876	1.039698	12.790477
2	0	20.000000	3	6.666667	41.333333	44	408.000000	80	9.272727	251.551797	1.818182	1.919662	5.100000	1.987450	10.089672	1.187938	12.520948
2	0	2.000000	1	2.000000	-nan	45	410.000000	81	9.111111	247.010101	1.800000	1.890909	5.061728	1.983318	9.974155	1.191985	12.353683
2	0	6.000000	2	3.000000	2.000000	46	416.000000	83	9.043478	241.731401	1.804348	1.849758	5.012048	2.004487	9.754348	1.227941	12.022899
2	0	2.000000	1	2.000000	-nan	47	418.000000	84	8.893617	237.531915	1.787234	1.823312	4.976190	2.000489	9.648442	1.231611	11.871457
2	0	2.000000	1	2.000000	-nan	48	420.000000	85	8.750000	233.468085	1.770833	1.797429	4.941176	1.996756	9.544968	1.235372	11.723886
2	0	42.000000	4	10.500000	38.333333	49	462.000000	89	9.428571	251.166667	1.816327	1.861395	5.191011	2.208318	9.814850	1.434728	11.983401
2	0	12.000000	3	4.000000	4.000000	50	474.000000	92	9.480000	246.173061	1.840000	1.851429	5.152174	2.254898	9.591281	1.499975	11.648787
2	0	2.000000	1	2.000000	-nan	51	476.000000	93	9.333333	242.346667	1.823529	1.828235	5.118280	2.248327	9.500686	1.500112	11.523185
2	0	10.000000	2	5.000000	2.000000	52	486.000000	95	9.346154	237.603318	1.826923	1.792986	5.115789	2.296785	9.381053	1.558467	11.333641
2	0	24.000000	2	12.000000	200.000000	53	510.000000	97	9.622642	237.085631	1.830189	1.759071	5.257732	2.447280	9.472854	1.707937	11.387707
2	0	6.000000	2	3.000000	2.000000	54	516.000000	99	9.555556	232.855346	1.833333	1.726415	5.212121	2.455972	9.311153	1.727815	11.159680
2	0	2.000000	1	2.000000	-nan	55	518.000000	100	9.418182	229.581145	1.818182	1.707071	5.180000	2.446788	9.234188	1.723720	11.058309
2	0	2.000000	1	2.000000	-nan	56	520.000000	101	9.285714	226.389610	1.803571	1.687987	5.148515	2.437973	9.158454	1.719935	10.958540
2	0	6.000000	2	3.000000	2.000000	57	526.000000	103	9.228070	222.536341	1.807018	1.658521	5.106796	2.446638	9.011712	1.739137	10.752937
2	0	2.000000	1	2.000000	-nan	58	528.000000	104	9.103448	219.532970	1.793103	1.640653	5.076923	2.438270	8.940593	1.735587	10.659727
2	0	6.000000	2	3.000000	2.000000	59	534.000000	106	9.050847	215.911163	1.796610	1.613092	5.037736	2.446772	8.803845	1.754175	10.469072
2	0	2.000000	1	2.000000	-nan	60	536.000000	107	8.933333	213.080226	1.783333	1.596328	5.009346	2.438806	8.736925	1.750827	10.381786
2	0	2.000000	1	2.000000	-nan	61	538.000000	108	8.819672	210.316940	1.770492	1.579781	4.981481	2.431129	8.671042	1.747715	10.295843
2	0	2.000000	1	2.000000	-nan	62	540.000000	109	8.709677	207.619249	1.758065	1.563458	4.954128	2.423724	8.606187	1.744824	10.211241
2	0	20.000000	4	5.000000	6.666667	63	560.000000	113	8.888889	206.293907	1.793651	1.618024	4.955752	2.483659	8.509190	1.819003	10.065524
2	0	12.000000	3	4.000000	4.000000	64	572.000000	116	8.937500	203.170635	1.812500	1.615079	4.931034	2.514012	8.380863	1.861761	9.882819
2	0	68.000000	4	17.000000	102.666667	65	640.000000	120	9.846154	253.663462	1.846154	1.663462	5.333333	2.712049	9.059345	2.003152	10.675927
2	0	2.000000	1	2.000000	-nan	66	642.000000	121	9.727273	250.693706	1.833333	1.648718	5.305785	2.702587	8.999317	1.997904	10.599340
2	0	2.000000	1	2.000000	-nan	67	644.000000	122	9.611940	247.786522	1.820896	1.634102	5.278689	2.693409	8.940059	1.992899	10.523702
2	0	2.000000	1	2.000000	-nan	68	646.000000	123	9.500000	244.940299	1.808824	1.619622	5.252033	2.684500	8.881571	1.988124	10.449020
2	0	2.000000	1	2.000000	-nan	69	648.000000	124	9.391304	242.153453	1.797101	1.605286	5.225806	2.675850	8.823851	1.983567	10.375295
2	0	2.000000	1	2.000000	-nan	70	650.000000	125	9.285714	239.424431	1.785714	1.591097	5.200000	2.667444	8.766894	1.979215	10.302529
2	0	22.000000	2	11.000000	162.000000	71	672.000000	127	9.464789	238.280885	1.788732	1.569014	5.291339	2.771592	8.820865	2.084862	10.333499
2	0	6.000000	2	3.000000	2.000000	72	678.000000	129	9.416667	235.091549	1.791667	1.547535	5.255814	2.774149	8.713664	2.095897	10.189075
2	0	2.000000	1	2.000000	-nan	73	680.000000	130	9.315068	232.579909	1.780822	1.534627	5.230769	2.765338	8.660202	2.090916	10.121438
2	0	2.000000	1	2.000000	-nan	74	682.000000	131	9.216216	230.116994	1.770270	1.521844	5.206107	2.756756	8.607419	2.086129	10.054643
2	0	2.000000	1	2.000000	-nan	75	684.000000	132	9.120000	227.701622	1.760000	1.509189	5.181818	2.748393	8.555310	2.081526	9.988689
2	0	2.000000	1	2.000000	-nan	76	686.000000	133	9.026316	225.332632	1.750000	1.496667	5.157895	2.740242	8.503869	2.077098	9.923572
2	0	14.000000	3	4.666667	9.333333	77	700.000000	136	9.090909	222.688995	1.766234	1.497266	5.147059	2.773342	8.415492	2.120467	9.796460
2	0	2.000000	1	2.000000	-nan	78	702.000000	137	9.000000	220.441558	1.756410	1.485348	5.124088	2.765249	8.366904	2.115916	9.735267
2	0	34.000000	2	17.000000	450.000000	79	736.000000	139	9.316456	225.526777	1.759494	1.467056	5.294964	2.913026	8.554509	2.255710	9.924740
2	0	20.000000	3	6.666667	17.333333	80	756.000000	142	9.450000	224.098734	1.775000	1.467722	5.323944	2.974169	8.524416	2.324085	9.864649
2	0	20.000000	4	5.000000	6.666667	81	776.000000	146	9.580247	222.671605	1.802469	1.510494	5.315068	3.009512	8.448247	2.370882	9.757885
2	0	2.000000	1	2.000000	-nan	82	778.000000	147	9.487805	220.623306	1.792683	1.499699	5.292517	3.000125	8.403666	2.364684	9.702685
2	0	12.000000	3	4.000000	4.000000	83	790.000000	150	9.518072	218.008816	1.807229	1.498971	5.266667	3.015105	8.308900	2.389481	9.574569
2	0	8.000000	2	4.000000	8.000000	84	798.000000	152	9.500000	215.409639	1.809524	1.481354	5.250000	3.026383	8.242494	2.407179	9.483433
2	0	6.000000	2	3.000000	2.000000	85	804.000000	154	9.458824	212.989356	1.811765	1.464146	5.220779	3.025646	8.163471	2.413074	9.379916
2	0	46.000000	5	9.200000	21.200000	86	850.000000	159	9.883721	226.009850	1.848837	1.565116	5.345912	3.126527	8.327548	2.507918	9.562252
2	0	2.000000	1	2.000000	-nan	87	852.000000	160	9.793103	224.096231	1.839080	1.555199	5.325000	3.117012	8.288075	2.501211	9.514003
2	0	2.000000	1	2.000000	-nan	88	854.000000	161	9.704545	222.210554	1.829545	1.545324	5.304348	3.107689	8.248972	2.494678	9.466179
2	0	24.000000	4	6.000000	13.333333	89	878.000000	165	9.865169	221.981614	1.853933	1.580695	5.321212	3.154706	8.218909	2.549368	9.414546
2	0	30.000000	5	6.000000	10.000000	90	908.000000	170	10.088889	223.992010	1.888889	1.672909	5.341176	3.199751	8.208786	2.601816	9.393164
2	0	2.000000	1	2.000000	-nan	91	910.000000	171	10.000000	222.222222	1.879121	1.663004	5.321637	3.190317	8.172925	2.594885	9.349630
2	0	2.000000	1	2.000000	-nan	92	912.000000	172	9.913043	220.475872	1.869565	1.653129	5.302326	3.181062	8.137363	2.588120	9.306431
2	0	26.000000	4	6.500000	19.666667	93	938.000000	176	10.086022	220.862085	1.892473	1.683964	5.329545	3.232326	8.125609	2.645319	9.276333
2	0	2.000000	1	2.000000	-nan	94	940.000000	177	10.000000	219.182796	1.882979	1.674331	5.310734	3.223052	8.091502	2.638417	9.235075
