2	1	16.000000	3	5.333333	9.333333	1	16.000000	3	16.000000	-nan	3.000000	-nan	5.333333	-nan	-nan	-nan	-nan
2	1	26.000000	3	8.666667	41.333333	2	42.000000	6	21.000000	50.000000	3.000000	0.000000	7.000000	-14.177000	28.177000	-99.094567	113.094567
2	1	36.000000	5	7.200000	17.200000	3	78.000000	11	26.000000	100.000000	3.666667	1.333333	7.090909	0.177292	63.692537	-3.043899	-28.238666
2	1	22.000000	4	5.500000	11.666667	4	100.000000	15	25.000000	70.666667	3.750000	0.916667	6.666667	2.204166	17.236033	0.068689	51.946233
2	1	2.000000	1	2.000000	-nan	5	102.000000	16	20.400000	158.800000	3.200000	2.200000	6.375000	0.942753	26.537985	-0.886926	317.468316
2	1	134.000000	6	22.333333	567.466667	6	236.000000	22	39.333333	2277.866667	3.666667	3.066667	10.727273	-1.953534	48.892501	-5.990053	150.378383
2	1	82.000000	8	10.250000	45.071429	7	318.000000	30	45.428571	2158.285714	4.285714	5.238095	10.600000	0.384650	40.752986	-2.625322	102.470884
2	1	198.000000	10	19.800000	146.177778	8	516.000000	40	64.500000	4759.714286	5.000000	8.571429	12.900000	0.916045	47.868096	-2.419190	108.775486
2	1	188.000000	12	15.666667	98.060606	9	704.000000	52	78.222222	5859.444444	5.777778	12.944444	13.538462	2.268788	45.501594	-0.754219	93.422088
2	1	2.000000	1	2.000000	-nan	10	706.000000	53	70.600000	5789.377778	5.300000	13.788889	13.320755	2.032330	47.294705	-0.833105	100.276497
2	1	12.000000	3	4.000000	4.000000	11	718.000000	56	65.272727	5522.618182	5.090909	12.890909	12.821429	2.045549	43.002675	-0.673561	82.098021
2	1	150.000000	6	25.000000	302.000000	12	868.000000	62	72.333333	5618.787879	5.166667	11.787879	14.000000	3.362351	40.184534	0.621934	66.815133
2	1	322.000000	6	53.666667	648.666667	13	1190.000000	68	91.538462	9945.435897	5.230769	10.858974	17.500000	4.330342	46.860781	0.879057	72.168768
2	1	12.000000	3	4.000000	4.000000	14	1202.000000	71	85.857143	9632.285714	5.071429	10.379121	16.929577	4.211223	44.382078	0.892974	66.539214
2	1	44.000000	2	22.000000	800.000000	15	1246.000000	73	83.066667	9061.066667	4.866667	10.266667	17.068493	4.570405	43.909942	1.351022	64.990949
2	1	24.000000	3	8.000000	4.000000	16	1270.000000	76	79.375000	8675.050000	4.750000	9.800000	16.710526	4.634410	41.859492	1.525024	60.556191
2	1	12.000000	3	4.000000	4.000000	17	1282.000000	79	75.411765	8399.882353	4.647059	9.367647	16.227848	4.547594	39.869135	1.538744	56.612344
2	1	6.000000	2	3.000000	2.000000	18	1288.000000	81	71.555556	8173.437908	4.500000	9.205882	15.901235	4.426346	38.952664	1.490524	54.922161
2	1	12.000000	3	4.000000	4.000000	19	1300.000000	84	68.421053	7906.035088	4.421053	8.812865	15.476190	4.368665	37.213813	1.520758	51.667658
